YORK - HESLINGTON HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE626504,Long,-1.048,Lat,53.946,Elevation,35,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938
January,1.00,1.25,1.50,1.27,0.43,2.93,0.80,1.25,0.83,2.41,1.64,3.65,3.32,1.69,2.80,0.69,3.37,1.88,2.83,2.93,1.86,3.19,2.12,2.77,1.56,2.78,2.09,5.06,2.23,3.56,1.98,2.01,2.11,1.98,2.28,3.72,3.39,2.86
February,1.72,1.38,0.92,2.47,0.65,1.80,1.14,2.07,0.74,2.49,1.13,1.36,0.67,1.22,2.87,2.88,0.88,2.15,1.10,1.02,0.15,2.53,4.54,1.18,4.10,1.72,1.53,1.55,0.76,0.67,2.10,0.51,4.96,1.85,2.75,2.27,3.51,1.54
March,1.82,0.96,2.00,1.32,1.52,1.49,1.16,3.11,3.14,0.58,1.19,3.02,2.25,2.00,1.31,3.02,1.91,1.20,3.11,2.13,1.07,2.04,1.60,1.39,1.09,0.67,1.55,2.22,0.24,2.29,0.57,2.05,2.16,2.23,0.87,1.28,2.41,0.33
April,1.84,1.50,1.06,1.62,1.83,1.22,1.50,2.27,2.44,2.70,1.08,0.09,2.71,0.59,1.03,1.02,2.18,1.06,1.42,3.96,1.31,1.86,1.64,2.39,2.41,1.22,1.88,0.59,1.01,2.30,3.65,2.05,1.08,2.68,2.33,1.64,3.71,0.17
May,1.24,2.09,3.83,1.93,0.77,1.50,3.88,2.05,1.71,2.60,1.30,3.17,2.08,1.40,1.65,2.36,1.27,2.45,0.95,2.36,1.66,1.11,2.69,3.90,3.00,2.45,1.23,1.67,1.46,1.14,2.42,6.13,2.75,1.16,1.07,1.33,3.29,3.38
June,1.27,2.38,1.61,1.24,2.69,1.12,3.69,1.03,2.41,2.15,3.00,6.02,1.54,1.98,1.24,1.77,2.61,1.01,1.16,2.40,0.34,1.30,0.84,1.63,0.01,3.67,2.83,4.16,1.62,1.55,3.98,0.58,1.63,2.09,2.09,3.57,1.94,2.87
July,0.98,2.37,2.87,1.13,1.70,0.76,1.69,2.47,3.01,2.98,1.74,3.76,0.51,4.05,3.57,1.79,1.04,3.23,3.85,5.97,0.96,5.21,2.44,2.71,1.33,3.89,3.47,0.69,2.12,4.48,4.29,3.43,1.22,1.48,0.30,3.09,1.78,2.78
August,1.35,2.12,2.11,3.22,3.83,1.70,1.85,2.09,3.45,3.06,1.79,5.03,0.87,1.30,2.31,2.93,6.00,2.78,2.88,1.54,3.95,3.82,3.40,3.04,2.38,2.91,4.65,3.91,2.41,3.69,3.14,1.67,0.49,1.54,2.67,2.42,1.63,2.14
September,0.85,0.60,3.45,0.57,2.47,0.48,0.93,1.91,1.85,0.32,2.69,1.78,1.42,1.06,1.96,1.06,0.86,6.73,1.01,1.33,0.77,2.00,3.06,2.75,2.69,1.26,4.66,0.40,0.72,3.28,3.78,2.29,2.06,1.59,5.18,1.65,1.02,1.58
October,1.65,2.15,7.55,1.16,1.43,4.69,4.64,0.83,2.59,2.16,2.66,2.34,2.48,1.92,0.97,3.03,3.28,1.44,3.71,2.22,2.05,1.06,2.30,3.03,2.80,3.04,1.93,4.22,2.73,1.80,1.17,3.21,3.72,1.96,4.78,1.75,3.09,3.61
November,3.34,1.26,1.45,1.44,3.24,3.04,2.96,1.72,0.49,2.75,3.30,2.42,2.33,2.84,1.76,1.92,1.94,1.78,2.00,1.21,2.00,1.53,2.63,2.09,2.12,3.84,2.60,3.10,4.02,3.23,4.45,1.78,2.97,1.89,4.35,3.20,2.26,2.91
December,3.45,1.66,0.80,1.16,0.48,1.83,3.10,1.91,5.08,2.52,4.18,2.17,1.47,4.39,5.26,2.09,1.07,3.76,4.06,2.52,2.28,2.91,3.50,2.54,2.64,0.75,2.77,1.34,5.75,2.17,1.09,1.39,0.78,4.70,2.69,1.48,2.83,4.77
Total,20.51,19.72,29.15,18.53,21.04,22.56,27.34,22.71,27.74,26.72,25.70,34.81,21.65,24.44,26.73,24.56,26.41,29.47,28.08,29.59,18.40,28.56,30.76,29.42,26.13,28.20,31.19,28.91,25.07,30.16,32.62,27.10,25.93,25.15,31.36,27.40,30.86,28.94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_22_pt1/021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_20_pt1/177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_23_pt1/099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_19_pt1/239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The 1904 total has been increased by 0.06 compared to the sheet figure to match the sum of the months.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The 1914 total is shown in brackets on the sheet without explanation. It has been retained.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
