"PENTLAND HILLS HAREHILL",,,,,,,,,,,,
Grid ref,NT171619,Long,-3.325431,Lat,55.843164,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.45,2.30,1.95,5.75,3.56,1.15,5.51,1.74,5.00,4.60,,
February,5.30,1.47,1.00,6.15,3.55,2.00,1.80,2.04,1.80,2.20,,
March,2.00,3.25,2.25,7.10,1.75,4.80,3.50,2.53,4.55,3.25,,
April,2.65,2.47,1.85,1.45,3.60,2.15,1.50,1.81,2.20,3.00,,
May,2.10,3.30,3.10,2.65,4.65,1.50,5.65,4.00,2.50,2.60,,
June,4.00,2.45,3.20,2.05,3.30,1.15,2.53,4.20,1.80,3.10,,
July,3.90,1.00,3.20,4.50,2.60,2.50,1.80,3.60,4.70,5.90,,
August,4.80,6.15,1.75,4.00,5.45,4.05,7.97,4.10,2.45,2.90,,
September,4.65,2.00,2.45,3.00,2.10,2.95,1.21,1.70,4.20,3.25,,
October,5.00,3.05,2.65,8.40,2.00,2.60,8.28,9.95,1.35,6.90,,
November,7.05,3.70,1.20,2.55,1.65,3.80,5.91,1.80,2.90,0.92,,
December,8.40,4.20,3.50,2.20,4.50,2.65,1.31,4.75,1.90,4.05,,
Total,54.30,35.34,28.10,49.80,38.71,31.30,46.97,42.22,35.35,42.67,,
Calc annual,54.30,35.34,28.10,49.80,38.71,31.30,46.97,42.22,35.35,42.67,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
