PENTLAND HILLS HAREHILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT183615,Long,-3.306153,Lat,55.839775,Elevation,1297,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,
January,,,,,,,1.9,10,6.4,-999,3.3,6,3.4,4.6,10,7.3,4.1,3.8,2.8,1.9,10,2.9,3.2,2.95,4.8,1.65,1.5,1.36,2.25,5.6,4.45,2.3,1.95,5.75,3.56,1.15,5.51,1.74,5,4.6,2.6,2.35,1.9,1.7,3.83,2.76,7.4,1.24,2.11,3.07,3.5,6.26,2.3,2.84,3,3.63,4.35,3.46,7.03,0.98,3.98,1.9,5.1,4.25,4.4,1.2,3.7,3.5,5.05,5.35,1.04,3.93,2.36,3.6,2.65,3.5,3.12,3.5,5.56,3.33,1.92,3,2.98,0.72,3.64,1.7,2.04,4.9,2.39,1.1,2.82,,,,,,,,
February,,,,,,,4.1,4.35,1.75,-999,3.3,4,4.2,3.1,3.6,5.7,7.5,2.9,5.1,4.4,1.7,0.8,5.85,5.15,11.2,1.2,1.5,3.45,2.65,2.6,5.3,1.47,1,6.15,3.55,2,1.8,2.04,1.8,2.2,4.1,4.5,2.5,2.97,3.09,3.22,3,0.72,4.52,0.66,3.55,0.96,2.02,3,0.79,5.53,3.62,1.98,2.38,0.93,0.68,2,0.36,1.6,0.13,3.75,2.8,5.6,1.49,2.93,0.88,3.96,0.68,2.84,1.9,3.94,1.74,1.78,3.03,2.26,4.46,2.05,0.6,1.4,1.7,1.66,3.4,3.2,3,0.6,1.8,,,,,,,,
March,,,,,,,8.2,3.8,1.4,4.7,3.7,6,8.5,3.5,4.1,2.9,4.7,10,10,4.5,4,8.82,9,3.5,4.1,8.5,3.8,4.1,1.35,3.3,2,3.25,2.25,7.1,1.75,4.8,3.5,2.53,4.55,3.25,1.8,2,3.25,4.41,3.92,1.73,2.95,1.62,1.34,2.07,3.77,4.43,2.1,1.76,0.85,2.75,2.53,3.56,1.84,0.44,1.64,0.8,3.15,1.31,3.05,1.55,1.6,1.5,1.65,3.15,2.9,2.21,1.45,2.25,0.47,1.96,2.7,5,2.02,0.71,3.29,3,1.51,0.7,1.97,1.15,1.4,2.65,1.6,0.9,1.42,,,,,,,,
April,,,,,,,4.5,7.65,2,3.5,5.2,1.3,4.9,2,1.2,3.6,2.6,2.9,4.6,3.5,1.6,1.27,3.15,1.5,1.85,2,2,2.5,2.9,4.22,2.65,2.47,1.85,1.45,3.6,2.15,1.5,1.81,2.2,3,4.25,2.9,0.42,3.09,2.33,2.63,4.78,1,0.43,4.7,4,0.3,2.13,2.26,1.8,4.67,1.77,2,1.23,1.7,1.25,2.4,4.1,2.6,5.15,4.23,1.45,1.4,0.27,1.92,2.85,2.12,1.84,1.81,2.51,1.1,0.82,5.38,2.19,2.5,3.88,3.7,1.9,3.09,1.25,1.04,0.81,1.2,2.5,2.54,1.7,,,,,,,,
May,,,,,,,1.5,3,3.65,2.5,2.2,0,3.4,3.6,4.1,3.7,6,5.5,1.8,2.9,2.5,2.45,4.25,2.25,3,0.95,0.75,2.05,2.15,4.6,2.1,3.3,3.1,2.65,4.65,1.5,5.65,4,2.5,2.6,2.3,1.8,1.65,2.27,3.02,1.63,4.55,1.7,2.95,1.08,4.67,2.25,2.51,3.4,3.5,5.73,3.97,2.2,1.96,1.78,0.56,3.3,4.2,1.9,2.05,0.72,0.9,2.8,4.3,1.06,2.54,4.18,2.31,3.93,3.18,4.63,1.97,3.17,2.05,2.47,1.82,3.16,1.6,2.08,5.05,2.8,1.88,2.49,2.77,0.9,0.97,,,,,,,,
June,,,,,,,3.3,2.75,2.45,5.5,2.2,3.5,5.1,3,1.4,1.1,1.8,0.7,3.3,1.7,5.7,0.8,4.1,5.45,3.4,2.55,4.1,4.5,3.2,1.95,4,2.45,3.2,2.05,3.3,1.15,2.53,4.2,1.8,3.1,1.8,4.05,5.92,3.26,2.22,1.75,4.12,3.26,1.35,3,1.58,0.57,2.43,1.72,2.86,0.79,5.28,4.09,5.9,2.77,2.01,5.45,1.47,2.65,3.3,2.55,2.58,1.9,5.95,2.02,0.79,0.68,1.35,2.51,3.84,2.56,2.18,2.43,5.02,1.33,1.8,2.31,3.3,2.08,3.08,0.83,2.74,2.48,3.6,2.02,2.5,,,,,,,,
July,,,,,,,2.4,5,0.65,10,3.4,4.5,5.2,2.8,7.4,1.6,3.5,3.2,6.9,5.7,4.4,2.8,2.25,3.45,2.6,4.35,5.05,3.05,1.9,5.05,3.9,1,3.2,4.5,2.6,2.5,1.8,3.6,4.7,5.9,5,1.05,2.83,0.63,4.69,6.5,6,1.75,5,1.62,4.3,2.83,5.39,4.84,3.6,2.22,3.62,4.09,2.95,3.84,3.7,4.3,2.65,4.5,2.35,1.27,6,4.9,4.16,3.14,7.32,3.53,3.48,3.16,2.65,2.74,5.24,2.97,2.92,2.3,1.44,3.42,3.1,5.5,2.67,2.5,5.2,5.19,6.5,3.4,3.05,,,,,,,,
August,,,,,,,3.5,10,7.4,2.4,0.7,7.6,3.2,4.3,1.6,3.3,1,3.4,3.2,7.9,5.9,9.1,6.65,4.35,4.9,5.9,1.9,4.5,4.6,0.9,4.8,6.15,1.75,4,5.45,4.05,7.97,4.1,2.45,2.9,6,1.75,5.6,1.64,3.21,4.52,5.2,7,2.52,3.04,8.32,5.8,2.6,6.32,4.25,3.04,2.93,7.03,6.51,4.47,6.3,6.1,1.09,1.3,4.75,2.69,1.9,4.95,1.97,2.8,1.05,4.05,4.09,5.14,3.22,4.33,4.13,0.21,10.57,3.37,3.85,6.85,3.9,2.24,6.67,1.4,8,5.78,3.85,0.67,3.9,,,,,,,,
September,,,,,,,3.5,2,4.5,2.2,3.8,5,3.7,4,2.7,,5.2,6.2,1.3,1.7,2.4,7.85,3.45,2.4,0.9,1.23,5.9,3,3.73,3.6,4.65,2,2.45,3,2.1,2.95,1.21,1.7,4.2,3.25,1.05,1.75,4.7,3.12,1.42,3.19,2.3,3.43,6,5.54,2.2,2.45,1.91,3.59,4.25,4.93,3.17,8.77,3.68,0.51,5.55,1.85,3.8,2.2,3.15,4.65,3.5,3.33,3.15,2.21,3.12,1.07,4.14,2.33,5.8,5.06,5.25,2.33,3.78,2.6,7.2,2.08,3.2,4.05,4.82,2.52,3.51,2.18,4.92,0.66,1.96,,,,,,,,
October,,,,,,,3.5,3.5,3.8,1.9,8,3.5,4.1,3.8,3.2,3.2,6.7,3,2.9,5.9,4.4,4.1,7.15,3.9,3.6,4.1,5.5,1.6,4.65,5,5,3.05,2.65,8.4,2,2.6,8.28,9.95,1.35,6.9,4.6,5.3,4.35,2.94,1.95,2.39,8.5,3.34,6.48,2.82,1.15,4.2,2.53,3.93,4.22,2.97,3.85,5.03,4.52,4.25,4.3,2.85,7.6,2.85,4.05,8.25,3.4,4.6,7.95,2.78,3.6,4.3,3.99,5.11,3.61,4.51,0.88,1.83,1.32,5.64,3.2,0.85,2.3,1.56,7.6,1.87,2.53,3.58,2.16,3.5,3.95,,,,,,,,
