BOLTON-BY-BOWLAND,,,,,,,,,,
Grid ref,SD786493,Long,-2.3274751,Lat,53.939367,Elevation,300,ft,,
Station no,RR4462,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,5.26,3.02,,,,
February,,,,,4.55,3.34,,,,
March,,,,,3.37,4.15,,,,
April,,,,,5.02,3.44,,,,
May,,,,,3.26,0.33,,,,
June,,,,,1.82,3.6,,,,
July,,,,,1.38,2.16,,,,
August,,,,,6.36,5.87,,,,
September,,,,,1.77,3.85,,,,
October,,,,,3.04,4.4,,,,
November,,,,,4.49,5.51,,,,
December,,,,,4.1,1.64,,,,
Total,,,,,44.42,41.31,,,,
,,,,,,,,,,
NGR is beside the church as noted on the record. Gauge moved to the Hall in 1906,,,,,,,,,,
