BOLTON-BY-BOWLAND-BOLTON-HALL,,,,,,,,,,,,,,,,,,,,
Grid ref,SD785484,Long,-2.3289347,Lat,53.931274,Elevation,300,ft,,,,,,,,,,,,
Station no,RR4462,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,7.96,2.73,5.8,2.57,8.79,2.49,4.8,3.76,4.62,,,,,
February,,,,,,,4.72,3.44,3.42,3.23,5.8,8.09,2.31,2.61,3.52,,,,,
March,,,,,,,4.98,5.69,3.57,3.11,1,3.01,7.54,8.18,5.07,,,,,
April,,,,,,,1.64,2.41,2.75,4.19,3.13,3.29,1.67,5.11,1.25,,,,,
May,,,,,,,5.54,4.76,3.89,2.26,2.83,2.77,2.47,2.48,2.62,,,,,
June,,,,,,,1.98,8.98,2.46,1.97,2.96,5.17,6.77,2.55,2.2,,,,,
July,,,,,,,2.01,2.84,4.03,6.67,3.92,0.64,4.44,1.32,2.84,,,,,
August,,,,,,,4.13,4.59,4.34,2.73,6.51,3.47,6.03,2.1,2.27,,,,,
September,,,,,,,1.45,0.95,5.76,3.1,0.31,4.61,1.84,1.94,3.93,,,,,
October,,,,,,,7.62,4.42,2.05,5.43,4.48,4.75,4.87,2.58,2.44,,,,,
November,,,,,,,5.24,3.53,4.1,2.73,4.7,6.36,4.54,5.91,7.29,,,,,
December,,,,,,,5.24,6.72,3.68,8.36,4.9,7.45,5.86,4.11,6.46,,,,,
Total,,,,,,,52.51,51.06,45.85,46.35,49.33,52.1,53.14,42.65,44.51,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is Bolton Hall. Altitudes match. Gauge moved 0.5 miles S in 1906 to the Hall.,,,,,,,,,,,,,,,,,,,,
