COLEFORD-STAUNTON-RECTORY,,,,,,,,,,,,,,,,,,,,
Grid ref,SO551126,Long,-2.6526741,Lat,51.810221,Elevation,726,ft,,,,,,,,,,,,
Station no,RR6999,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,,1.28,4.98,3.33,1.83,2.58,3.69,5.5,0.79,3.01,,
February,,,,,,,,,,1.98,0.81,0.04,2.43,3.87,2.54,0.19,0.63,2.94,,
March,,,,,,,,,,4.57,1.57,2.75,1.25,0.54,2.11,3.69,3.74,5.78,,
April,,,,,,,,,,6.31,1.28,1.63,0.98,0.21,2.71,4,1.27,3.25,,
May,,,,,,,,,,3.53,2.28,4.71,1.85,2.47,3.08,0.96,0.32,1.83,,
June,,,,,,,,,,0.61,2.87,3.66,2.72,1.38,1.96,1.3,3.23,3.88,,
July,,,,,,,,,,3.24,2.81,2.85,3.66,4.12,3.28,3.64,1.52,1.64,,
August,,,,,,,,,,2.92,3.04,7.35,4.4,2.11,4.21,4.03,2.21,,,
September,,,,,,,,,1.07,2.14,2.34,1.9,3.32,1.57,3.34,0.96,7.86,,,
October,,,,,,,,,1.09,3.68,0.84,8.71,2.88,3.17,5.83,3.62,4,,,
November,,,,,,,,,9.17,1.14,2.69,4.26,3.18,2,5.28,7.56,1.27,,,
December,,,,,,,,,4.52,1.63,1.5,5.22,1.1,4.8,2.97,2.75,5.45,,,
Total,,,,,,,,,,33.03,27.01,46.41,29.6,28.82,41,38.2,32.29,,,
