LYMINGTON-STANLEY-ROAD-(FAIRWAY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SZ329948,Long,-1.53445,Lat,50.75231,Elevation,5,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,632/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,3.51,4.47,3.75,5.46,2.66,1.99,2.31,3.11,5.51,1.18,1.03,3.95,2.55,1.27,,,4.15,,,,
February,,,,,,,,,,3.47,3.55,0.32,1.41,0.54,2.12,3.2,1.35,1.16,1.14,4.92,6.52,0.81,1.54,,,0.2,,,,
March,,,,,,,,,,3.48,3.75,2.82,0.8,0.27,0.84,1.26,6.81,0.83,1.58,1.72,4.37,3.24,0.56,,,0.62,,,,
April,,,,,,,,,,0.75,1.71,1.64,0.89,1.81,1.27,2.77,2.53,1.41,1.61,2.64,2.4,1.74,1.72,,,1.76,,,,
May,,,,,,,,,,0.91,1.75,2.99,3.02,0.35,1.94,3.13,1.73,2.46,2.13,1.53,2.47,0.27,1.69,,,0.32,,,,
June,,,,,,,,,,0.3,1.26,0.47,1.51,1.8,2.57,4.07,1.54,2.28,0.57,1.69,0.93,1.72,2.02,,,3.68,,,,
July,,,,,,,,,4.05,3,2.07,1.73,2.69,2.87,1.54,0.95,1.85,1.54,0.23,4.02,1.86,0.22,3.17,,,2.58,,,,
August,,,,,,,,,2.45,0,4.77,2.63,1.51,3.69,2.22,3.99,1.02,3.54,1.24,3.34,4.72,3.77,1.95,,,4.87,,,,
September,,,,,,,,,1.46,1.7,0.66,2.53,1.54,1.61,1.63,3.42,0.89,3.03,3.15,,2.85,4.16,3.85,,,3.89,,,,
October,,,,,,,,,7.59,3.9,0.78,4.08,4.27,4.44,3.21,1.4,1.56,2.35,8.89,,1.16,3.83,4.43,,,1.38,,,,
November,,,,,,,,,6.82,8.35,2.38,1.27,2.15,5.82,1.14,4.82,1.4,1.84,3.7,5.61,9.49,4.87,1.29,,,0.81,,,,
December,,,,,,,,,1.57,2.77,2.06,4.14,2.53,2.63,4.08,3.48,3.22,4.74,1.79,2.62,2.57,3.2,0.76,,,3.67,,,,
Total,,,,,,,,,,32.14,29.21,28.37,27.78,28.49,24.55,34.8,27.01,30.69,27.21,,43.29,30.38,24.25,,,27.93,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fairway Stanley Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exact house not found but near start of road which is bottom of hill matching elevation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947 Jan Part estimated poss for snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950 Sept Oct Marked as estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954 Observer frequently away from home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955 Record very incomplete Observer often absent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956 Station terminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
