LYMINGTON (STANLEY ROAD),,,,,,,,,,,,
Grid ref,SZ329949,Long,-1.534988,Lat,50.752772,,,,,,,
Station no,632/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.95,2.55,1.27,-999.00,,4.15,,,,,,
February,6.52,0.81,1.54,,,0.20,,,,,,
March,4.37,3.24,0.56,-999.00,,0.62,,,,,,
April,2.40,1.74,1.72,,,1.76,,,,,,
May,2.47,0.27,1.69,-999.00,,0.32,,,,,,
June,0.93,1.72,2.02,-999.00,,3.68,,,,,,
July,1.86,0.22,3.17,-999.00,,2.58,,,,,,
August,4.72,3.77,1.95,-999.00,,4.87,,,,,,
September,2.85,4.16,3.85,-999.00,,3.89,,,,,,
October,1.16,3.83,4.43,-999.00,,1.38,,,,,,
November,9.49,4.87,1.29,,,0.81,,,,,,
December,2.57,3.20,0.76,,,3.67,,,,,,
Total,43.29,30.38,24.25,,,27.93,,,,,,
Calc annual,43.29,30.38,24.25,0.00,0.00,27.93,0.00,0.00,0.00,0.00,,
Difference,0.00,-0.00,0.00,NaN,NaN,0.00,NaN,NaN,NaN,NaN,,
