THORPE-BAY,,,,,,,,,,
Grid ref,TQ916861,Long,0.761563,Lat,51.541269,Elevation,25,ft,,
Station no,1270/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,3.06,1.64,2.12
February,,,,,,,,1.97,0.11,1.24
March,,,,,,,,0.95,1.11,1.35
April,,,,,,,,1.44,1.6,0.51
May,,,,,,,,2.07,0.96,2.14
June,,,,,,,1.07,4.62,1.52,1.77
July,,,,,,,2.73,2.72,1.51,2.21
August,,,,,,,3.63,3.35,0.95,3.63
September,,,,,,,2.86,3.59,0.13,4.26
October,,,,,,,1.4,2.68,2,5.36
November,,,,,,,2.28,1.32,2.86,2.94
December,,,,,,,1.72,3.06,2.44,2.29
Total,,,,,,,,30.83,16.83,29.82
