CONONISH,,,,,,,,,,
Grid ref,NN301285,Long,-4.755893,Lat,56.418054,Elevation,945,ft,,
Station no,5555/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,7.5
February,,,,,,,,,,8.01
March,,,,,,,,,,3.58
April,,,,,,,,,,10.29
May,,,,,,,,,,5.85
June,,,,,,,,,,4.96
July,,,,,,,,,,7.78
August,,,,,,,,,,5.17
September,,,,,,,,,,4.98
October,,,,,,,,,,5.92
November,,,,,,,,,12.07,13.47
December,,,,,,,,,17.25,12.5
Total,,,,,,,,,,90.01
,,,,,,,,,,
Station no,5555/5,,,,,,,,,
Midas,15071,,,,,,,,,
Hyd stn,859814,,,,,,,,,
