"LANGPORT THE GRANGE",,,,,,,,,,,,
Grid ref,ST407264,Long,-2.847069,Lat,51.033887,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,3.06,0.95,3.94,0.77,0.52,1.20,,
February,,,,,4.12,0.59,1.99,1.00,1.12,0.61,,
March,,,,,1.02,3.61,1.24,0.52,2.85,3.02,,
April,,,,,0.84,2.25,1.20,4.41,2.09,2.25,,
May,,,,,2.15,0.25,2.46,2.61,2.20,0.87,,
June,,,,3.08,0.77,3.39,2.20,1.33,0.32,2.62,,
July,,,,1.74,3.15,1.46,1.15,2.14,1.63,2.13,,
August,,,,3.19,1.95,3.21,1.70,1.75,1.87,1.67,,
September,,,,3.73,1.54,1.53,0.51,0.55,3.23,2.66,,
October,,,,5.74,1.77,0.88,3.70,6.55,3.62,4.01,,
November,,,,1.76,1.44,3.68,2.40,2.22,1.39,0.65,,
December,,,,2.69,2.07,0.86,1.64,3.56,2.76,4.48,,
Total,,,,,23.88,22.66,24.13,27.41,23.60,26.17,,
Calc annual,0.00,0.00,0.00,21.93,23.88,22.66,24.13,27.41,23.60,26.17,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,,
