PETERSFIELD-HEATH-LODGE,,,,,,,,,,,,,,,,,,,,
Grid ref,SU749229,Long,-0.93307,Lat,51.00062,Elevation,220,ft,,,,,,,,,,,,
Station no,RR4343,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,,,,1.58,2.51,4.6,0.96,3.48,5.57,,4.6,7.7,5.78,6.43,
February,,,,,,,,,1.42,2.94,1.84,2.9,0.75,1.44,,2.91,6.55,3.24,2.3,
March,,,,,,,,,1.35,1.7,2.53,4.18,4.87,1.25,4.03,1.32,3.21,3.55,2.45,
April,,,,,,,,,3.55,3.64,1.86,0.61,2.68,1.05,2.77,0.83,2.25,2.95,3.86,
May,,,,,,,,,3.16,1.29,3.54,1.64,3.74,2.27,1.72,3.26,1.86,1.49,1.64,
June,,,,,,,,,0.74,2.83,8.9,2.8,2.78,4.45,1.77,2.39,2.8,1.77,0.57,
July,,,,,,,,,1.72,3,2.75,5.31,1.65,1.01,0.53,2.44,2.46,5.63,0.99,
August,,,,,,,,,2.15,2.36,5.33,1.09,1.77,2.68,0.99,5.68,3.28,2.86,5.84,
September,,,,,,,,3.27,2.37,6.16,5.15,4.28,2.38,5.97,4.09,0.03,7.49,3.55,4.52,
October,,,,,,,,8.14,2.57,4.44,3.38,1.64,6.9,,2.06,9.48,1.77,4.38,4.4,
November,,,,,,,,1.98,2,4.9,3.63,6.88,1.48,,4.03,4.74,2.11,1.3,2.76,
December,,,,,,,,1.51,4.81,4.8,5.13,1.42,3.29,,2.14,3.44,3.38,1.33,10.03,
Total,,,,,,,,,27.42,40.57,48.64,33.71,35.77,,,41.12,44.86,37.83,45.79,
,,,,,,,,,,,,,,,,,,,,
Both observers were Curates living at Heath Lodge which around 1900 is marked as the vicarage on maps before reverting to Heath Lodge later,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1863 Station marked terminated,,,,,,,,,,,,,,,,,,,,
1864 Station marked as started again with new observer,,,,,,,,,,,,,,,,,,,,
1868 Station terminated,,,,,,,,,,,,,,,,,,,,
