S. UIST USHENISH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NF 87298 35063,Long,-7.193641,Lat,57.298671,Elevation,157,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5764/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,0.33,0.74,0.41,2.7,4.5,7.1,3.95,5.16,6.88,3.88,5.29,1.6,3.02,3.69,7.82,5.98,7.08,5.1,3.75,5.4,7.6,1.85,4.1,1.25,7.75,2.5,14.2,8.6,6.8,13,9.7,9.5,16.5,11.7,7.4,4.5,6.4,1.8,5.9,1.8,4.12,7.38,13.15,6.47,6.8,8.78,7.38,12.04,11.15,11.35,9.7,11.3,4.73,4.33,3.58,2.33,3.61,6.04,5.03,3.62,3.9,7.42,14.64,12.76,2.57,4.11,2.66,1.76,,0.92,1.9,0.89,2.73,,8.63,3.96,4.37,5.08,2.57,4.86,6.53,3.03,1.77,0.61,3.29,3.35,1.74,1.92,1.35,3.12,5.16,5.46,2.55
February,,,,,,,,,1.12,0.69,0.46,3.64,1.97,5.58,5.95,3.39,5.78,3.74,9.97,4.4,3.03,2.29,7.22,0.9,2.25,1.85,3.23,8.5,2.75,1.75,5.95,4.95,4.6,9,8.7,9.2,2.3,8.2,5.6,10.4,1.2,7.1,3.5,7.4,7.5,0,2.7,2.4,5.72,5.21,3.95,3.58,2.7,11.74,9.31,11.9,8.8,10.9,11.05,5.5,6.12,4.79,4.28,3.31,5.44,3.66,6.62,1.26,4.41,2.2,9.59,3.11,2.57,3.32,0.8,1.64,,0.34,1.27,0.57,0.41,,0.43,3.33,2.14,4.96,2,3.82,3.66,5.93,2.46,3.1,2.94,1.53,1.58,1.52,2.44,0,0.29,2.86,2.28
March,,,,,,,,,0.61,0.4,0.62,4.7,2.62,2.65,4.03,3.74,3.52,1.29,5.47,1.47,1.99,3.3,2.48,1.71,5.41,1.15,5.42,2.35,4.9,4.6,3,5.2,6.4,1.85,11.9,4.1,4.3,5.2,6.2,6.9,9.3,6,2.3,4.8,3.8,3.6,6,4.7,5.08,6.6,0,4.42,11.12,11.14,4.01,12.37,4.9,10.55,7.15,3,2.23,2.59,4.38,5.01,4.56,4.42,1.38,3.69,1.48,7.18,11.6,10.07,0.62,1.12,1.12,0.38,,0.26,1.61,0.64,1.61,,3.38,2.01,3.22,2.6,2.91,1.15,5.78,4.32,3.1,2.25,2.24,1.06,1.09,1.44,1.18,2.05,1.12,2.97,3.51
April,,,,,,,,,0.14,0.24,0.24,0,3.85,5.2,3.1,1.68,1.12,6.73,2.3,1.86,6.53,1.85,4.15,1.23,3.7,2.25,1.55,1.6,4.2,1,3.3,1.2,3.55,2.2,1.6,4.1,3.2,5.8,5.3,4,4.6,1.2,2,1.9,0.7,2.5,3.7,1.8,3.33,8.56,10.07,5.12,6.8,6.45,13.01,4.57,7,3.15,3.5,7.35,4.6,5.04,3.42,3.72,5.08,4.6,3,1.67,0.61,2.89,3.43,2.15,1.68,1.49,0.82,1.05,,0.72,0.84,0.72,1.62,,3.28,3.85,3.61,2.18,1.2,2.55,0.92,2.22,2.79,1.52,1.8,3.43,1.01,0.94,1.47,4.6,3.86,3.31,3.07
May,,,,,,,,,0.57,0.02,0.42,2.25,3.03,3.05,1.18,2.82,1.22,2.98,3.35,0.26,3,1.14,2.73,2.19,2.45,3.1,1.05,3,3.1,2.8,2.45,2.45,2.65,2.6,9.5,4.85,2.5,3.2,5.8,5.9,1.7,2.4,7.5,2.2,2,1.3,0.7,2.2,4.95,5.27,8.2,1.97,5.81,3.79,7.12,4.07,7.55,4.9,7.85,8,3.81,2.56,4.06,3.01,2.2,0.87,1.85,3.19,0.86,1.27,8.34,4.73,4.04,1.83,0.72,1.11,,0.27,0.56,1.89,0.56,,1.37,1.31,2.95,1.1,2.71,3,2.14,1.01,1.72,0.96,1,2.85,1.41,1.13,0.18,3.24,1.27,2.12,1.63
June,,,,,,,,,0.34,0.1,0.18,3.05,3.93,3.85,3.15,1.31,1.48,2.27,1.79,1.83,2.82,0.95,3.35,3.83,2.7,2.05,3.42,5.85,4.95,1.5,1.85,3.65,2.35,3.7,2.7,4.3,4.1,3.4,4.3,2.4,8.2,2.5,2.6,0.6,1.8,1.3,4.8,0.7,7.1,3.62,3.55,5.95,2.67,2.9,8.93,1.29,1.75,17,4.5,,1.52,1.93,3.34,3.4,1.75,1.64,2.76,2.31,2.47,4.76,1.94,1.94,2.05,1.13,0.98,,,0.53,0.95,1.4,1.62,,2.44,2.25,2.09,3.44,2.23,2.63,4.52,1.74,2.72,0.97,1.39,2.82,0.94,1.38,2.54,2.95,2.46,1.25,3
July,,,,,,,,,0.32,0.23,0.09,3.97,5.22,0.55,1.35,2.09,1.44,1.69,1.07,3.24,2.3,4.27,3.7,6.45,2.49,2,2.7,6.3,2.35,7.45,1.1,7.2,6.85,3.5,6.1,6.1,4.9,5.5,4,1.1,7.6,2.7,3.1,3.1,3.5,5.5,4.6,3.9,4.44,3.35,6.05,1.58,3.44,7.99,3.41,3.43,7.25,4.65,4.45,3.04,2.72,4.56,1.74,0.87,3.44,4.27,1.54,1.78,2,2.44,4.51,2.61,2.27,1.57,0.72,1.41,,0.49,1.45,1.6,1.59,,4.19,3.77,4.43,3.36,2.67,2.51,3.2,6.26,3.26,4.32,3.7,4.63,0.47,2.12,2.5,2.42,3.5,2.1,6.19
August,,,,,,,,,0.64,0.19,0.57,8.44,2.99,3.7,1.66,4.45,5.22,4.44,4.89,1.85,1.81,3.64,2.35,5.11,4.4,6.3,3.68,2.8,2.6,5.4,1.8,3.45,4,10.1,7.6,1,4.7,3.6,6.9,9,6.2,6.6,3.3,5.4,4.6,4.6,4.5,3,8.44,2.32,4.86,4.3,3.14,9.39,8.09,4.82,8.5,11.95,8.5,3.8,4.44,3.71,2.97,2.26,5.52,1.49,2.42,4.19,6.58,4.99,2.27,3.37,2.73,2.79,0.57,0.39,,0.37,0.85,2.01,4.28,,4.81,5.88,3.94,4.69,4.4,3.63,3.5,2.63,4.01,5.56,3.07,3.24,0.97,0.95,2.74,0.15,4.81,4.28,3.58
September,,,,,,,,,0.68,0.66,1.58,7.88,2.15,7.3,5.36,4.03,4.97,5.87,1.5,5.81,5.47,2.39,6.54,3.96,6.65,1.45,2.6,3.95,7.7,8.55,4.9,3,6.75,3.5,6.4,9.1,5.8,5.6,6.5,6.5,7,7.5,7.4,5.6,0,3.3,4.2,4.5,11.14,13.25,8.43,6,8.62,2.21,5.16,8.61,2.7,4.95,12.85,2.97,2.01,3.86,1.93,2.17,5.77,3.06,1.45,3.39,4.16,6.45,6.69,3.97,1.78,3.57,0.66,0.52,,0.49,0.71,2.4,3.64,,5.41,1.14,6.37,7.32,3.88,4.48,5.09,5.02,4.47,1.16,3.16,2.82,0.96,1,3.01,2.8,5.99,3.27,6.52
October,,,,,,,,,0.84,0.52,4.71,3.88,8.62,5.15,2.18,3.89,3.5,6.44,4.14,5.39,4.65,5.19,7,6.85,6.43,3.7,6.2,11.35,6.3,3.35,1.6,3.05,3.75,6.3,14.8,6.3,5.3,5.2,12.3,6.3,12.2,8.5,3.5,6.2,2.2,6,2.6,2.1,2.09,7.1,8.34,7.75,6.65,16.92,10.48,8,5.35,4.9,15.1,4.11,3.21,2.29,4.78,5.96,3.65,1.8,8.95,5.98,7.15,3.84,3.13,4.64,2.39,4.32,0.96,0.9,,1.82,2.26,2.19,6.01,,5.49,4.06,8,7.49,5.7,2.85,8.65,2.06,4.19,2.71,4.82,2.32,3.17,1.06,0.46,3.42,4.45,5.05,3.8
