MONIFIETH FOUNTAIN BRAE,,,,,,,,,,,,,,,,,,,,
Grid ref,NO 50024 33067,Long,-2.813138,Lat,56.48704,Elevation,55,ft,,,,,,,,,,,,
Station no,RR8823,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,0.79,1.18,2.67,3.15,,,2.1,1.88,0.91,2.34,0.91,1.67,,2.19,2.35,0.67,,,
February,,3.64,1.61,2.92,1.52,,,0.78,1.1,1.57,1.34,0.13,2.1,,3.61,0.64,0.72,,,
March,,2.58,2.41,2.03,2.81,,,1.08,3.58,1.45,1.83,1.87,0.92,,0.58,1.15,0.87,,,
April,,0.85,4.41,1.58,1.38,,1.45,1.4,0.9,3.49,0.62,0.74,0.8,,0.73,0.3,0.66,,,
May,,1.5,2.67,0.97,1.74,,3.09,1.31,2.24,1.42,2.09,1.86,3.33,,3.81,0.48,0.87,,,
June,,2.88,4.07,2.42,0.27,,1.09,0.77,2.69,1.06,2.65,0.5,2.87,,2.13,1.8,2.75,,,
July,,2.68,3.84,5.01,5.56,,3.82,1.91,5.47,2.86,3.53,3.38,1.85,,2.86,3.84,3.98,,,
August,,4.24,1.82,2.79,1.93,,1.22,2.89,1.68,6.18,2.64,4.41,5.1,,4.17,3.5,2.18,,,
September,,3.44,2.04,2.56,2.23,,2.63,3.14,0.23,0.49,2.43,5.01,1.3,,0.21,1.02,4.17,,,
October,,4.32,3.66,1.59,1.55,,3.18,0.78,1.3,2.75,2.26,2.11,4.51,,2.98,1.5,2.67,,,
November,,3.53,3.62,2.01,1.57,,1.77,3.81,4.7,0.78,4.47,3,2.29,,2.12,2.28,1.15,,,
December,,1.18,4.55,1.42,2.4,,2.01,1.28,1.91,1.18,1.97,3.56,1.1,,1.16,2.76,3.41,,,
Total,,31.63,35.88,27.97,26.11,,,21.25,27.68,24.14,28.17,27.48,27.84,,26.55,21.62,24.1,,,
,,,,,,,,,,,,,,,,,,,,
Station no,RR8823,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
hyd stn,,,,,,,,,,,,,,,,,,,,
