"BLAIRGOWRIE (BANKHEAD)",,,,,,,,,,,,
Grid ref,NO179450,Long,-3.338426,Lat,56.589701,,,,,,,
Station no,5566/91,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,2.36,0.70,1.86,,,,,,,,
February,,0.58,0.81,2.75,,,,,,,,
March,2.77,2.76,0.44,2.44,,,,,,,,
April,1.53,1.23,1.97,0.83,,,,,,,,
May,1.41,3.12,1.75,4.83,,,,,,,,
June,1.62,1.89,2.35,1.71,,,,,,,,
July,3.16,2.27,4.06,2.82,,,,,,,,
August,4.12,3.30,1.74,,,,,,,,,
September,1.59,0.68,2.18,,,,,,,,,
October,0.69,2.53,1.33,,,,,,,,,
November,6.54,1.85,2.52,,,,,,,,,
December,2.52,1.78,3.85,,,,,,,,,
Total,,24.35,23.70,,,,,,,,,
Calc annual,25.95,24.35,23.70,17.24,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,-0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
