"WHITEHAVEN, MILLGROVE",,,,,,,,,,,,,,,,,,,,
Grid ref,NX993208,Long,-3.5592191,Lat,54.572355,Elevation,219,ft,,,,,,,,,,,,
Station no,RR7622,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,8,4.09,3.96,6.78,4.06,1.81,8.05,7.33,4.85,,,,,
February,,,,,,,3.83,1.9,5.63,4.84,2.6,3.83,4.34,0.86,4.5,,,,,
March,,,,,,,3.86,1.31,3.42,1.19,0.23,2.73,4.27,2.08,2.59,,,,,
April,,,,,,,0.72,3.65,2.88,2.15,1.27,2.41,2.13,0.35,2.8,,,,,
May,,,,,,,1.8,1.76,2.83,1.99,3.46,1,1.18,2.17,,,,,,
June,,,,,,,2.53,2.08,0.94,1.35,1.98,1.94,6.18,2,,,,,,
July,,,,,,,3.52,1.59,0.55,2.66,0.93,4.13,3.57,5.32,,,,,,
August,,,,,,,-999,3.11,3.45,2.14,1.12,3.94,3.36,5.43,,,,,,
September,,,,,,,-999,6.91,2.16,7.92,4.3,2.42,7.05,2.38,,,,,,
October,,,,,,,4.79,4.71,6.5,3.91,8.5,4.05,7.5,-999,,,,,,
November,,,,,,,3.92,1.09,1.43,3.91,2.79,4.05,4.43,-999,,,,,,
December,,,,,,,3.94,3.8,8.13,4.79,1.9,5.24,5.52,2.75,,,,,,
Total,,,,,,,47,36,41.88,43.63,33.14,37.55,57.58,38.96,,,,,,
,,,,,,,,,,,,,,,,,,,,
1866 Aug/Sept bracketed,,,,,,,,,,,,,,,,,,,,
1879 Oct/Nov bracketed,,,,,,,,,,,,,,,,,,,,
