"KIELDER CASTLE",,,,,,,,,,,,
Grid ref,NY632936,Long,-2.580203,Lat,55.235225,,,,,,,
Station no,3580/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.23,5.39,2.55,4.67,4.22,4.03,7.16,4.47,2.67,6.94,,
February,3.89,0.76,1.98,3.50,2.71,2.07,4.35,3.58,1.71,5.93,,
March,2.94,3.22,1.26,3.88,2.02,1.68,2.86,1.12,2.47,2.09,,
April,4.70,3.63,5.50,0.81,1.74,1.16,1.11,2.17,3.56,3.14,,
May,2.41,2.04,2.14,5.19,3.30,2.54,2.03,4.18,1.20,2.18,,
June,1.29,2.65,3.08,2.90,2.62,2.85,1.65,2.32,3.52,2.48,,
July,2.70,2.35,6.88,5.32,1.91,3.63,3.44,4.53,3.23,4.78,,
August,3.56,4.88,4.24,5.73,1.68,8.26,5.20,5.13,0.75,6.29,,
September,4.98,3.00,4.79,6.36,2.74,4.46,3.44,4.90,1.19,2.11,,
October,1.17,5.63,2.09,9.60,2.86,3.11,5.28,3.49,4.12,4.62,,
November,7.75,4.48,6.86,7.96,1.67,1.90,1.13,0.95,7.83,6.48,,
December,7.92,4.87,3.08,7.03,6.98,6.23,3.63,4.41,8.15,5.62,,
Total,48.54,42.90,44.45,62.95,34.45,41.92,41.28,41.25,40.40,52.66,,
Calc annual,48.54,42.90,44.45,62.95,34.45,41.92,41.28,41.25,40.40,52.66,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
