KIELDER (VIADUCT LO.),,,,,,,,,,,,,,,,,,,,
Grid ref,NY631929,Long,-2.58097,Lat,55.22937,Elevation,610,ft,,,,,,,,,,,,
Station no,3580/2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,2.9,3.5,,7.78,7.27,6.78,5.27,5.27,8.86,,
February,,,,,,,,,,1.7,4.47,,6.63,2.85,6.23,2.7,4.8,4.01,,
March,,,,,,,,,,5.22,3.21,,2.67,0.64,3.75,4.05,6.6,3.44,,
April,,,,,,,,,,2.34,1.6,,3.43,2.34,3.17,1.45,8.86,3.01,,
May,,,,,,,,,,3.22,2.37,,6.49,3.2,6.46,1.75,2.77,2.1,,
June,,,,,,,,,,0.62,1.28,1.15,4.58,6.46,5.01,4.4,4.34,5.02,,
July,,,,,,,,,,6.62,1.2,2.95,5.05,2.63,3.42,5.33,6.1,2.41,,
August,,,,,,,,,,2.11,6.04,4.65,5.74,2.94,2.1,7.33,0.27,7.93,,
September,,,,,,,,,,3.4,1,5.62,5.68,6.16,6.28,6.7,3.57,5.66,,
October,,,,,,,,,,3.54,5.63,5.37,5.75,4.2,4.99,0.74,1.07,4.46,,
November,,,,,,,,,,4.85,3.53,0.77,3.12,10.12,0.68,7.44,5.84,3.45,,
December,,,,,,,,,,3.84,2.25,6.24,2.82,5.17,2.96,4.54,2.67,4.52,,
Total,,,,,,,,,,40.36,36.08,,59.74,53.98,51.83,51.7,52.16,54.87,,
,,,,,,,,,,,,,,,,,,,,
"1941 Jn 3.5, Feb 4.47, Mar 3.21, Apr 1.60, Sept 1 and total estimated therefore removed",,,,,,,,,,,,,,,,,,,,
