"KIELDER (VIADUCT LODGE)",,,,,,,,,,,,
Grid ref,NY631924,Long,-2.581618,Lat,55.224435,,,,,,,
Station no,3580/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.07,5.19,2.78,4.86,4.61,4.15,7.57,4.26,2.69,7.28,,
February,3.90,0.86,2.27,3.45,2.61,2.09,4.33,3.74,1.82,5.91,,
March,3.39,3.21,1.46,3.98,1.94,2.00,2.92,1.39,2.83,2.18,,
April,5.01,3.60,5.44,0.92,1.82,1.24,1.23,2.38,3.77,3.12,,
May,2.50,2.10,2.27,5.48,3.14,3.05,2.18,3.96,1.25,2.15,,
June,1.25,2.88,2.91,3.63,2.83,3.10,1.91,2.67,3.58,2.47,,
July,2.88,2.61,7.73,6.54,1.85,3.70,4.05,4.34,3.50,4.86,,
August,3.71,5.02,4.71,-999.00,1.65,8.26,4.93,4.51,0.85,,,
September,4.97,3.14,5.02,6.65,3.04,3.73,3.47,4.95,1.18,,,
October,1.13,5.30,2.61,9.94,3.01,3.46,5.80,3.55,4.46,,,
November,8.28,4.44,7.41,8.25,1.77,2.27,1.21,0.97,7.44,,,
December,8.21,5.13,3.10,8.15,7.40,7.48,4.33,4.51,7.96,,,
Total,50.30,43.48,47.71,66.55,35.67,44.53,43.93,41.23,41.33,,,
Calc annual,50.30,43.48,47.71,61.85,35.67,44.53,43.93,41.23,41.33,27.97,,
Difference,-0.00,0.00,0.00,4.70,0.00,0.00,0.00,0.00,0.00,NaN,,
