ACCRINGTON ST JAMES' VICARAGE,,,,,,,,,,,,,,,,,,,,
Grid ref,SD755286,Long,-2.3730378,Lat,53.753183,Elevation,465,ft,,,,,,,,,,,,
Station no,RR6781,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,6.78,2.5,4.07,3.08,5.72,2.43,4.5,4.95,3.85,6.75,4.48,,,
February,,,,,,,3.71,2.97,3.87,3.38,5.28,4.81,1.97,2.15,3.89,7.37,5.06,,,
March,,,,,,,4.18,4.63,3.57,2.59,1.23,2.42,7,6.26,5.92,2.24,2.61,,,
April,,,,,,,2.26,2.52,2.68,4.19,4.19,3.18,1.11,6.4,1.85,2.72,3.8,,,
May,,,,,,,4.53,4.64,3.14,2.77,3.79,3.2,2.72,4.24,2.88,1.73,2.62,,,
June,,,,,,,1.63,8.53,1.84,2.95,2.72,5.03,6.09,2.8,2.27,1.62,2.65,,,
July,,,,,,,2.52,3.02,4.39,6.33,3.82,0.65,4.52,1.46,5.25,5.17,2.75,,,
August,,,,,,,4.07,5.15,3.78,3.39,6.59,3.12,7.48,2.27,3.14,4.46,3.06,,,
September,,,,,,,1.86,1.15,3.77,2.82,0.66,4.48,2.09,1.56,4.09,0.82,2.73,,,
October,,,,,,,8.19,4.01,1.66,5.43,3.54,3.59,4.99,2.17,2.57,1.56,9.65,,,
November,,,,,,,6.74,2.76,3.77,2.16,5.86,4.46,4.05,5.76,7.81,1.97,3.44,,,
December,,,,,,,6.43,5.03,2.54,6.75,5.06,8.8,5.36,3.8,7.26,7.81,4.01,,,
Total,,,,,,,52.9,46.91,39.08,45.84,48.46,46.17,51.88,43.82,50.78,44.22,46.86,,,
