"CULLEN HOUSE",,,,,,,,,,,,
Grid ref,NJ507663,Long,-2.828426,Lat,57.683832,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.10,2.10,1.10,4.10,1.70,2.50,1.10,2.44,1.60,2.20,,
February,4.40,4.20,2.30,1.80,2.10,1.15,1.95,1.38,2.45,1.50,,
March,3.20,2.50,3.35,2.05,3.20,4.50,2.60,1.25,2.25,3.50,,
April,1.65,2.40,2.10,2.10,1.30,2.10,2.25,1.06,2.65,2.65,,
May,0.90,1.20,2.00,1.75,1.20,2.30,4.00,2.00,2.40,2.50,,
June,1.05,0.50,1.30,1.20,1.80,0.95,1.20,4.00,1.35,2.35,,
July,2.05,0.60,5.05,6.35,0.70,1.00,1.65,-999.00,2.95,1.80,,
August,4.10,1.10,2.00,4.00,4.50,2.90,2.30,3.40,2.30,2.25,,
September,2.50,3.00,1.90,2.85,2.50,3.30,2.20,0.60,2.85,2.50,,
October,6.20,4.50,2.90,4.10,2.60,5.40,3.85,3.30,0.50,3.55,,
November,3.10,6.30,2.50,3.20,3.10,5.15,5.47,1.90,1.85,5.05,,
December,3.20,3.50,3.70,2.40,4.40,0.95,3.00,1.85,2.10,2.65,,
Total,35.45,31.90,30.20,35.90,29.10,32.20,31.57,26.23,25.25,32.50,,
Calc annual,35.45,31.90,30.20,35.90,29.10,32.20,31.57,23.18,25.25,32.50,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,3.05,-0.00,0.00,,
