"CULLEN HOUSE GARDENS",,,,,,,,,,,,
Grid ref,NJ503656,Long,-2.834989,Lat,57.677501,,,,,,,
Station no,5670,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.74,2.45,2.07,1.21,1.62,3.19,2.19,3.20,3.49,4.16,,
February,3.22,1.80,1.81,1.77,2.14,1.77,2.31,2.60,0.27,2.21,,
March,2.47,2.32,0.38,1.30,1.56,0.90,3.10,1.39,1.20,0.95,,
April,2.74,1.16,2.03,1.02,1.22,1.90,0.90,1.40,1.68,1.84,,
May,0.89,1.30,1.70,4.47,3.76,0.97,1.71,2.27,0.52,0.86,,
June,1.73,2.79,3.88,2.76,1.78,2.97,2.09,1.65,0.91,3.42,,
July,4.11,2.02,4.08,3.51,0.41,6.17,5.25,5.48,2.36,2.74,,
August,5.33,3.72,1.60,2.26,1.23,2.96,4.90,4.13,1.64,6.17,,
September,0.94,3.63,1.79,2.24,2.20,2.14,2.08,1.96,1.06,2.86,,
October,0.84,2.23,0.70,5.16,4.64,2.88,1.60,1.52,3.51,3.69,,
November,5.28,3.14,1.82,4.29,1.02,2.29,2.17,1.14,4.05,3.33,,
December,2.42,2.88,2.62,3.96,5.46,3.57,3.58,2.17,2.42,1.11,,
Total,32.71,29.44,24.48,33.95,27.04,31.71,31.88,28.91,23.11,33.34,,
Calc annual,32.71,29.44,24.48,33.95,27.04,31.71,31.88,28.91,23.11,33.34,,
Difference,-0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,-0.00,0.00,0.00,,
