COLD KIRBY SCHOOL,,,,,,,,,,,
Grid ref,SE534845,Long,-1.182,Lat,54.253,Elevation,765,ft,,,
Station no,RR4581,,,,,,,,,,
,,,,,,,,,,,
,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928
January,,3.93,3.49,3.12,4.03,2.22,2.56,3.01,2.03,3.72,5.15
February,,1.37,1.19,0.17,3.06,6.29,2.12,5.13,2.07,1.16,1.85
March,,2.82,2.78,1.52,2.42,1.80,1.42,1.97,0.94,3.57,3.76
April,,2.04,4.20,1.52,2.37,2.11,2.35,2.94,1.11,,1.52
May,,0.92,2.56,2.16,0.97,3.10,6.16,3.83,3.04,,1.86
June,,1.56,1.55,0.51,2.59,0.90,2.24,0.08,3.26,3.42,4.03
July,,2.90,6.09,1.67,5.31,3.10,4.34,1.37,2.33,5.09,1.07
August,2.51,2.64,3.12,4.76,3.20,4.84,3.92,2.06,3.50,7.40,4.00
September,6.25,1.58,1.55,1.73,2.83,3.25,4.26,3.25,2.06,5.00,0.35
October,1.85,4.90,2.85,1.78,1.43,3.45,5.86,3.26,3.35,1.99,
November,1.95,2.56,1.51,2.07,1.72,3.80,2.93,2.11,5.59,,
December,4.36,3.86,4.09,2.57,4.60,3.73,4.78,2.70,1.34,,
Total,,31.08,34.98,23.58,34.53,38.59,42.94,31.71,30.62,,
,,,,,,,,,,,
TYRain_1910-1919_21_pt1/026,,,,,,,,,,,
TYRain_1920-1930_24_pt1/005,,,,,,,,,,,
,,,,,,,,,,,
# Readings for October-December 1928 are estimates and have been omitted.,,,,,,,,,,,
