PEEBLES (GOLF COURSE),,,,,,,,,,
Grid ref,NT242406,Long,-3.2061587,Lat,55.652993,Elevation,600,ft,,
Station no,5075/1,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,3.07,1.86,4.16,4.18,5.09,,
February,,,,0.16,3.35,3.31,3.55,0.65,,
March,,,,4.32,1.24,2.02,2.03,0.94,,
April,,,,3.07,3.13,1.19,1.11,0.37,,
May,,,,2.94,1.27,0.84,3.13,3.27,,
June,,,,1.46,2.7,1.81,1.14,5.34,,
July,,,,2.97,2.45,4.59,4.84,3.35,,
August,,,,3.46,2.31,1.66,3.08,1.78,,
September,,,,2.32,3.41,3.29,1.5,2.31,,
October,,,,6.32,6.46,3.64,2.35,6.71,,
November,,,,2.26,4.32,3.54,0.37,5.31,,
December,,,,4.13,1.87,3.6,1.45,3.72,,
Total,,,,36.48,34.37,33.65,28.73,38.84,,
