HEBDEN BRIDGE BURNSIDE,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,3251,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,5.35,8.27,4.85,4.37,3.60,5.40,5.61,4.69,11.75,2.38,7.06,
February,3.93,0.55,5.22,7.32,2.06,8.16,3.97,1.93,5.68,0.85,1.22,
March,4.21,3.69,3.52,2.42,2.12,1.78,2.33,4.59,3.55,0.97,3.19,
April,6.08,1.90,4.48,3.50,2.61,3.11,2.35,3.82,1.30,1.63,4.45,
May,5.50,2.30,1.26,4.13,5.24,4.53,4.27,2.22,1.99,3.08,2.40,
June,2.90,0.24,2.48,0.79,2.68,0.04,2.95,4.03,6.04,1.59,1.87,
July,7.62,1.95,4.59,4.16,3.99,1.32,2.74,3.38,1.32,2.06,6.13,
August,2.23,5.99,5.64,4.95,4.82,3.53,4.08,7.53,5.55,3.43,7.31,
September,2.04,1.83,4.30,5.12,4.78,3.42,3.46,5.99,0.65,1.52,5.26,
October,2.56,2.90,1.22,5.69,5.02,5.57,4.65,4.53,6.38,5.59,6.49,
November,2.92,2.69,2.87,6.78,2.91,2.83,7.24,4.88,6.91,8.31,6.64,
December,4.84,6.69,6.06,4.56,5.69,4.82,1.88,2.96,3.11,9.48,4.89,
Total,50.18,39.00,46.49,53.79,45.52,44.51,45.53,50.55,54.23,40.89,56.91,
Calc annual,50.18,39.00,46.49,53.79,45.52,44.51,45.53,50.55,54.23,40.89,56.91,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,
