HEBDEN-BRIDGE-BURNSIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE004278,Long,-1.9954138,Lat,53.746574,Elevation,830,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,3251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,4.02,6.26,5.35,8.27,4.85,4.37,3.6,5.4,5.61,4.69,11.75,2.38,7.06,5.18,5.41,3.64,3.91,2.6,6.08,5.49,6.84,,
February,,,,,,,,,6.26,1.9,3.93,0.55,5.22,7.32,2.06,8.16,3.97,1.93,5.68,0.85,1.22,5.92,0.66,6.39,0.74,6.85,3.55,7.3,2.25,,
March,,,,,,,,,1.82,6.06,4.21,3.69,3.52,2.42,2.12,1.78,2.33,4.59,3.55,0.97,3.19,0.57,2.62,2.96,4.31,1.78,2.87,3.79,1.58,,
April,,,,,,,,,1.31,2.22,6.08,1.9,4.48,3.5,2.61,3.11,2.35,3.82,1.3,1.63,4.45,4.79,4.16,1.58,2.84,3.84,1.9,2.6,0.73,,
May,,,,,,,,,3,1.7,5.5,2.3,1.26,4.13,5.24,4.53,4.27,2.22,1.99,3.08,2.4,3.7,4.68,2.58,3.18,0.84,1.43,2.49,4.39,,
June,,,,,,,,,1.95,1.49,2.9,0.24,2.48,0.79,2.68,0.04,2.95,4.03,6.04,1.59,1.87,7.13,0.89,2.58,2.22,4.9,5.26,2.8,5.22,,
July,,,,,,,,,3.66,2.7,7.62,1.95,4.59,4.16,3.99,1.32,2.74,3.38,1.32,2.06,6.13,3.75,3.62,2.18,4.09,1.9,3.82,2.49,4.59,,
August,,,,,,,,,3.3,3.08,2.23,5.99,5.64,4.95,4.82,3.53,4.08,7.53,5.55,3.43,7.31,5.38,1.55,1.96,3.83,1.69,2.48,1.85,6.04,,
September,,,,,,,,,11.57,1.65,2.04,1.83,4.3,5.12,4.78,3.42,3.46,5.99,0.65,1.52,5.26,4.38,4.63,2.03,3.1,7.58,5.37,1.97,,,
October,,,,,,,,,3.09,3.27,2.56,2.9,1.22,5.69,5.02,5.57,4.65,4.53,6.38,5.59,6.49,2.86,7.42,5.61,5.46,9.73,3.27,2.43,,,
November,,,,,,,,,2.54,4.54,2.92,2.69,2.87,6.78,2.91,2.83,7.24,4.88,6.91,8.31,6.64,9.22,3.45,2.82,2.55,7.09,6.02,2.66,,,
December,,,,,,,,,7.17,7.83,4.84,6.69,6.06,4.56,5.69,4.82,1.88,2.96,3.11,9.48,4.89,2.46,2.62,0.64,6.53,4.34,6.3,3.25,,,
Total,,,,,,,,38.55,49.69,42.7,50.18,39,46.49,53.79,45.52,44.51,45.53,50.55,54.23,40.89,56.91,55.34,41.71,34.97,42.76,53.14,48.35,39.12,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is Burnside. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360m from HEBDEN-BRIDGE-SUMMERFIELD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
