OLTON (RICHMOND ROAD),,,,,,,,,,,
Grid ref,SP134826,Long,-1.8042975,Lat,52.441207,Elevation,397,ft,,,
Station no,RR8874,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,3.51,1.67,2.59,2.38,,,,,
February,,,2.75,5.5,0.46,3.03,,,,,
March,,,2.18,1.97,0.98,0.88,,,,,
April,,,3.4,2.52,3.45,2.09,,,,,
May,,,1.17,1.55,5.51,3,,,,,
June,,,0.92,0.42,1.55,0.22,,,,,
July,,0.74,5.81,4.28,2.7,3.96,,,,,
August,,3.75,5.71,2.3,3.53,2.62,,,,,
September,,1.01,2.5,2.93,3.18,3.64,,,,,
October,,1.84,0.35,3.64,3.9,3.83,,,,,
November,,2.06,1.05,2.08,2.14,1.63,,,,,
December,,1.73,4.15,3.14,3.67,2.63,,,,,
Total,,,33.5,32,33.66,29.91,,,,,
