"WELLINGBOROUGH RAUNDS DAY SCHOOL",,,,,,,,,,,,
Grid ref,SP998727,Long,-0.536454,Lat,52.343306,,,,,,,
Station no,1122,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,1.02,3.57,0.75,1.12,0.86,,
February,,,,,,0.62,1.53,1.49,1.05,0.34,,
March,,,,,,1.76,1.58,0.86,2.88,2.89,,
April,,,,,,1.47,0.51,2.41,2.80,1.14,,
May,,,,,1.91,0.82,1.57,5.00,1.88,1.51,,
June,,,,,0.58,2.89,4.49,1.44,0.90,2.80,,
July,,,,,2.58,0.92,0.63,2.42,2.54,2.69,,
August,,,,,1.66,2.85,1.33,1.98,3.63,2.21,,
September,,,,,2.05,1.27,0.99,0.66,1.33,2.15,,
October,,,,,0.73,1.21,3.61,3.20,1.55,3.35,,
November,,,,,1.01,2.78,4.11,2.17,0.96,0.75,,
December,,,,,1.28,0.71,2.63,3.09,1.51,3.94,,
Total,,,,,,18.32,26.55,25.47,22.15,24.63,,
Calc annual,0.00,0.00,0.00,0.00,11.80,18.32,26.55,25.47,22.15,24.63,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,-0.00,0.00,,
