WEYMOUTH MASSANDRA,,,,,,,,,,,,
Grid ref,SY683800,Long,-2.449450,Lat,50.618839,,,,,,,
Station no,RR8489,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,1.30,7.17,1.42,1.13,1.18,,
February,,,,,,0.63,3.80,1.55,1.67,0.31,,
March,,,,,,5.10,1.34,0.60,2.73,4.52,,
April,,,,,,2.05,1.09,3.54,2.27,1.45,,
May,,,,,,0.34,3.51,2.21,1.89,1.35,,
June,,,,,,1.83,1.90,1.80,0.43,4.04,,
July,,,,,,0.58,1.36,1.33,1.35,2.22,,
August,,,,,,3.12,1.08,1.40,2.22,2.83,,
September,,,,,,2.41,0.85,0.82,2.76,2.57,,
October,,,,,,2.20,5.61,9.44,7.25,7.37,,
November,,,,,,4.85,4.15,3.12,1.26,0.78,,
December,,,,,,0.84,2.01,4.82,3.63,5.21,,
Total,,,,,,25.25,33.87,32.05,28.59,33.83,,
Calc annual,0.00,0.00,0.00,0.00,0.00,25.25,33.87,32.05,28.59,33.83,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,-0.00,,
