WEYMOUTH-MASSANDRA,,,,,,,,,,,,,,,,,,,,
Grid ref,SY683802,Long,-2.44945,Lat,50.6207,Elevation,40,ft,,,,,,,,,,,,
Station no,RR8489,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,1.3,7.17,1.42,1.13,1.18,3.55,1.39,5.89,5.59,,,,,,
February,,,,,,0.63,3.8,1.55,1.67,0.31,4.39,1.92,2.7,1.61,,,,,,
March,,,,,,5.1,1.34,0.6,2.73,4.52,0.94,3.14,4.69,2.47,,,,,,
April,,,,,,2.05,1.09,3.54,2.27,1.45,1.6,1.73,0.1,2.27,,,,,,
May,,,,,,0.34,3.51,2.21,1.89,1.35,2.05,0.83,2.75,2.47,,,,,,
June,,,,,,1.83,1.9,1.8,0.43,4.04,2.48,1.77,3.4,0.58,,,,,,
July,,,,,,0.58,1.36,1.33,1.35,2.22,3.43,0.14,1.7,0.23,,,,,,
August,,,,,,3.12,1.08,1.4,2.22,2.83,2.67,0.65,5.58,1.91,,,,,,
September,,,,,,2.41,0.85,0.82,2.76,2.57,0.25,1.07,2.09,2.97,,,,,,
October,,,,,,2.2,5.61,9.44,7.25,7.37,4.78,4.59,4.97,2.89,,,,,,
November,,,,,,4.85,4.15,3.12,1.26,0.78,4.65,5.11,1.84,3.59,,,,,,
December,,,,,,0.84,2.01,4.82,3.63,5.21,5.77,7.85,4.84,1.9,,,,,,
Total,,,,,,25.25,33.87,32.05,28.59,33.83,36.56,30.19,40.55,28.48,,,,,,
,,,,,,,,,,,,,,,,,,,,
9 Greenhill Used by Red Cross during WWI then eye hospital and recently a hospice,,,,,,,,,,,,,,,,,,,,
