WHITHAUGH LIDDESDALE,,,,,,,,,,,,,,,,,,,,
Grid ref,NY489880,Long,-2.804026,Lat,55.183632,Elevation,400,ft,,,,,,,,,,,,
Station no,RR3040,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,,,,,,5.75,7.5,5.5,9.25,4.35,5.6,10.25,6.2,7.7,6.75
February,,,,,,,,,,,4.2,6.5,2.25,4.5,3,4.1,6.5,5.7,8.5,10
March,,,,,,,,,,,7.3,6.75,5.5,1.5,5,2.3,3.7,4.2,7.25,1.2
April,,,,,,,,,,,2,0.25,6.5,5.4,0.95,0.7,2.5,6.7,4.25,2.6
May,,,,,,,,,,,4,0.7,4.25,4.25,1.4,7.15,2.35,2.7,2.25,2.1
June,,,,,,,,,,,7.75,3.5,7.25,5,5.3,0.5,2.75,2.8,1.1,1.1
July,,,,,,,,,,,3.5,6.5,5.75,0.75,2.75,3.25,3.45,4.15,0.5,2.1
August,,,,,,,,,,,4.5,9.7,4,4.5,3,4.75,4.3,5,4.65,1.25
September,,,,,,,,,,,1.75,6.5,2.25,8,7.2,1.95,7.15,3.6,3,8.5
October,,,,,,,,,,,10.5,3.5,10.7,4.5,5.9,5.25,3.5,4.25,7.4,3
November,,,,,,,,,,,3.25,10.1,2.25,6,5.9,5.25,6,1,3.4,6
December,,,,,,,,,,,4.25,4.75,7.9,5.5,7.75,5.5,6.3,3.75,10.5,8
Total,,,,,,,,,,56.3,58.75,66.25,64.1,59.15,52.5,46.3,58.75,50.05,60.5,52.6
