WELSHPOOL-PARK-LANE,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ222074,Long,-3.151657,Lat,52.658718,Elevation,280,ft.,,,,,,,,,,,,
Station no,RR8035,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,,,5.35,1.86,2,1.53,3.14,3.34,0.5,1.1,,
February,,,,,,,,,,,0.78,0.83,1.92,2.77,3.48,0.41,0.28,3.11,,
March,,,,,,,,,,,1.41,1.48,1.01,1.01,2.4,2.01,3.39,3.2,,
April,,,,,,,,,,,1.13,2.01,0.76,0.53,1.67,1.82,1.22,2.02,,
May,,,,,,,,,,,2.83,3.32,3.16,2.35,3.15,1.08,0.15,1.25,,
June,,,,,,,,,,,1.72,4.05,2.14,1.37,1.99,1.71,1.95,2.48,,
July,,,,,,,,,,,1.43,,1.73,2.53,2.15,3.8,1.45,0.74,,
August,,,,,,,,,,,2.68,4.62,2.92,1.74,2.9,2.8,0.37,2.3,,
September,,,,,,,,,,1.34,1.37,2.72,2.74,1.74,1.19,1.69,6.75,2.35,,
October,,,,,,,,,,3.9,2.55,6.01,3.13,3.18,3.35,3.01,3.75,1.18,,
November,,,,,,,,,,1.67,4.21,2.4,2.4,0.94,3.55,3.39,0.88,2.18,,
December,,,,,,,,,,1.89,1.23,5.2,1.6,3.64,2.35,2.58,3.63,3.79,,
Total,,,,,,,,,,,26.69,,25.51,23.33,31.32,27.64,24.32,25.7,,
,,,,,,,,,,,,,,,,,,,,
"NGR is the north end of Park Lane. Altitudes on record vary from 280 to 325, NGR used matches lower figure.",,,,,,,,,,,,,,,,,,,,
"The observer, Hawksworth, is noted as living (or working) at 7 High Street, which is 100m or so North",,,,,,,,,,,,,,,,,,,,
NGR could be +/- 200m,,,,,,,,,,,,,,,,,,,,
