OTTERBURN TOWER,,,,,,,,,,
Grid ref,NY887931,Long,-2.1792141,Lat,55.23198,Elevation,500,ft,,
Station no,RR7487,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,2,3.6,3.15,2.68,2.27,3.3,3.34,,
February,,2.2,2.6,1.38,3.4,3.7,4,0.96,,
March,,3.1,3.02,4.61,3.59,1.86,3.92,1.81,,
April,,1.98,0.28,3.17,0.84,1.08,1.2,3.84,,
May,,0.85,1.83,2.6,1.65,1.98,3.06,2.19,,
June,,3.98,4.82,2.11,3.02,1.45,2.87,2.15,,
July,,0.88,2.15,0.66,1.95,3.93,2.95,1.71,,
August,,3.26,5.28,1.75,2.36,2.77,3.86,6.88,,
September,,1.66,2.64,1.85,0.93,1.39,1.88,1.93,,
October,,3.51,4.36,2.37,2.52,1.45,5.16,2.91,,
November,,5.43,2.36,2.21,4.17,1.63,6.42,2.16,,
December,,3.8,4.02,2.05,6.51,5.16,3.55,2.08,,
Total,,32.65,36.96,27.91,33.62,28.67,42.17,31.96,,
