BATH-FRESHFORD,,,,,,,,,,,,,,,,,,,,
Grid ref,ST791597,Long,-2.30138,Lat,51.33606,Elevation,150,ft,,,,,,,,,,,,
Station no,RR8946,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,0.92,1.02,4.2,2.84,1.24,2.36,,,,,,
February,,,,,,,,,2.39,1.98,0.73,0,1.57,4.05,,,,,,
March,,,,,,,,,3.67,3.49,1.4,3.35,0.92,0.43,,,,,,
April,,,,,,,,,2.55,3.54,1.46,0.99,0.88,0.27,,,,,,
May,,,,,,,,,1.45,4.16,2.15,2.95,1.08,1.23,,,,,,
June,,,,,,,,,3.7,1.75,3.66,1.06,2.4,1.72,,,,,,
July,,,,,,,,,6.41,2.19,4.06,2.42,2.41,4.73,,,,,,
August,,,,,,,,2.09,2.26,3.1,3.04,5.86,4.45,1.41,,,,,,
September,,,,,,,,2.79,1.57,1.22,1.6,1.86,3.06,1.55,,,,,,
October,,,,,,,,2.82,1.15,3.59,1.25,8.79,3.54,3.18,,,,,,
November,,,,,,,,3.36,6.09,1.37,2.12,3.02,1.85,2.4,,,,,,
December,,,,,,,,2.35,3.67,1.79,2.09,5.44,1.18,3.27,,,,,,
Total,,,,,,,,,35.83,29.2,27.76,38.58,24.58,26.6,,,,,,
,,,,,,,,,,,,,,,,,,,,
Woodside Staples Hill,,,,,,,,,,,,,,,,,,,,
