DEVIZES-LONDON-ROAD,,,,,,,,,,,,,,,,,,,,
Grid ref,SU014621,Long,-1.9812807,Lat,51.35797,Elevation,443,ft,,,,,,,,,,,,
Station no,1487/7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,,3.02,1.85,0.92,1.57,2.45,,,,,
February,,,,,,,,,,5.21,4.66,0.71,1.29,2.08,1.48,,,,,
March,,,,,,,,,,0.96,3.06,2.82,0.43,2.09,1.41,,,,,
April,,,,,,,,,,2.39,2.78,1.18,1.92,0.37,0.83,,,,,
May,,,,,,,,,,2.87,3.16,4.47,2,2.59,4.89,,,,,
June,,,,,,,,,,1.9,0.72,2.17,1.44,3.85,2.95,,,,,
July,,,,,,,,,,,1.25,0.63,3.21,3.03,1.01,,,,,
August,,,,,,,,,,2.35,4.26,4.56,2.45,4.24,0.28,,,,,
September,,,,,,,,,,3.41,2.57,2.23,4.01,3.15,1.52,,,,,
October,,,,,,,,,,1.36,0.58,3.55,2.64,2.63,1.66,,,,,
November,,,,,,,,,,4.28,6.4,4.37,1.73,6.01,,,,,,
December,,,,,,,,,,1.96,2,2.75,0.69,2.22,,,,,,
Total,,,,,,,,,,,34.46,31.29,22.73,33.83,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1951 Sep IDR,,,,,,,,,,,,,,,,,,,,
1955 Nov Gauge moved then station terminated,,,,,,,,,,,,,,,,,,,,
