MARTON IN CLEVELAND - GARTHEEN,,,,,,,,,,,,,,
Grid ref,NZ520160,Long,-1.198,Lat,54.537,Elevation,160,ft,,,,,,
Station no,3486,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941
January,2.58,2.43,2.71,2.06,0.99,2.21,0.99,2.44,3.43,2.27,2.00,3.80,1.50,3.22
February,1.06,0.61,1.51,1.29,0.89,3.39,0.88,3.25,2.76,2.55,1.20,0.57,2.08,5.89
March,1.81,0.08,3.01,1.34,2.14,1.35,1.56,0.57,1.16,2.98,0.09,2.34,2.25,2.02
April,0.80,1.19,2.63,3.14,0.80,0.97,2.79,2.81,1.16,2.29,0.22,1.31,2.05,0.90
May,1.15,1.08,1.39,2.34,5.32,2.48,0.66,1.08,1.79,2.77,3.52,1.76,1.73,1.25
June,5.51,1.51,1.67,3.76,1.16,2.33,2.06,2.30,3.73,1.61,2.13,2.27,0.79,0.53
July,1.10,2.04,5.92,3.96,3.65,2.14,2.01,0.59,3.30,1.05,2.92,2.72,7.11,1.25
August,3.51,2.28,3.81,2.10,2.57,0.44,2.08,1.89,2.32,1.39,3.36,3.07,1.29,2.96
September,0.35,1.13,2.16,5.01,2.25,1.71,1.58,4.36,3.26,1.39,1.81,1.61,1.23,0.95
October,2.08,2.42,2.08,1.20,2.94,4.04,2.32,3.53,1.33,1.22,2.95,4.32,3.30,3.45
November,2.19,2.17,3.27,1.79,1.32,3.42,2.28,3.88,2.40,2.42,2.35,1.80,3.31,2.36
December,1.32,2.60,1.79,0.88,1.01,1.45,3.04,2.21,1.31,3.74,2.88,1.00,2.51,
Total,23.46,19.54,31.95,28.87,25.04,25.93,22.25,28.91,27.95,25.68,25.43,26.57,29.15,
,,,,,,,,,,,,,,
TYRain_1920-1930_24_pt1/044,,,,,,,,,,,,,,
TYRain_1931-1940_20_pt1/072,,,,,,,,,,,,,,
TYRain_1941-1950_22_pt1/251,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
# Gartheen is at 31 The Grove.,,,,,,,,,,,,,,
