"HUCKNALL FORGE MILLS",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR4080,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,2.71,1.98,2.91,,,,,,,,,
February,2.23,0.26,2.38,,,,,,,,,
March,1.75,0.76,1.80,,,,,,,,,
April,3.96,0.78,2.73,,,,,,,,,
May,1.98,1.41,0.71,,,,,,,,,
June,2.70,0.53,0.88,,,,,,,,,
July,4.31,0.49,3.68,,,,,,,,,
August,0.82,3.67,5.59,,,,,,,,,
September,1.21,0.99,2.00,,,,,,,,,
October,1.50,2.82,0.62,,,,,,,,,
November,0.81,1.29,1.00,,,,,,,,,
December,2.93,2.15,3.70,,,,,,,,,
Total,26.91,17.13,28.00,,,,,,,,,
Calc annual,26.91,17.13,28.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Difference,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
