HIGHGATE-NORTH-HILL-DEPOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ278884,Long,-0.15698639,Lat,51.579981,Elevation,309,ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,0.71,1.57,3.05,2.09,0.78,2.08,0.76,2.41,3.75,0.45,1,2.39,3.04,1.38,4.31,0.99,2.04,0.71,1.55,1.4,4.19,2.8,0.56,3.37,1.31,1.42,3.13,4.01,2.48,2.43,3.08,1.42,2.87,1.78,3.09,1.3,3.55,1.25,2.45,1.62,1.85,1.74,1.73,1.17,4.51,3.67,3,5.21,2.49,,,,,,,,,,
February,,,1.37,3.02,1.74,0.25,0.35,3.13,1.21,2.02,4.2,1.18,1.26,0.9,2.84,0.78,2.14,1.13,1.67,0.59,2.69,1.59,1.98,0.84,2.47,3.39,3.5,0.94,1.11,2.83,0.46,0.16,2.51,3.99,0.51,3.06,3.03,3.61,1.52,0.7,1.04,1.88,0.23,1.57,0.32,2.31,1.87,4.34,0.5,0.8,1.78,,,,,,,,,,
March,,,0.86,0.42,1.34,1.59,3.48,3.55,1.33,0.51,0.85,2.17,2.1,2.3,1.89,2.88,1.19,1.05,2.6,2.96,1.11,1.89,3.23,2.17,4.71,0.94,4.76,1.89,0.9,3.39,1.37,1.29,1.69,2.9,0.86,0.69,0.17,2.5,1.47,0,1.63,0.23,1.32,2.65,2.4,0.39,1.19,2.75,0.36,1.47,2.7,,,,,,,,,,
April,,,1.02,0.09,2.12,1.21,0.46,2.05,1.05,2.98,1.17,2.33,0.55,2.45,1.14,2,0.62,3.15,2.47,2.01,2.45,1.97,0.07,2.94,0.83,1.04,1.39,2.3,3.12,3.37,3.4,1.4,2.9,1.92,3.43,1.55,3.2,1.75,1.26,1.33,1.78,3.8,2.17,1.07,2.53,3.29,1.48,2.93,0.1,3.13,1.74,,,,,,,,,,
May,,,1.42,0.9,1.88,0.38,0.17,1.47,2.48,1.4,1.08,1.1,2.58,2.61,2.1,1.64,1.55,1.6,1.84,1.85,2.36,1.16,1.11,1.68,1.84,3.74,1.98,2.55,2.44,0.33,2.08,1.03,0.68,1.63,3.85,1.78,1.84,1.48,2.3,1.77,2.65,2.81,3.49,1.85,0.78,1.57,0.38,3.08,2.05,1.34,1.31,,,,,,,,,,
June,,,2.65,0.79,1.86,0.39,1.78,2,1.21,2.18,2.28,1.18,3.53,6.29,0.67,4.05,3.21,2.3,1.25,3.6,2.19,2.34,3.53,0.46,1.28,0.67,2.57,2.41,0.81,1.4,2.04,0.33,1.2,0.42,2.47,0.09,3.34,2.67,2.75,1.36,1.12,1.58,0.78,1.88,0.84,3.59,3.19,1.97,0.4,1.22,0.55,,,,,,,,,,
July,,,1.87,2.54,3.06,4.5,1.2,1.56,0.95,1.86,1.43,5.67,1.39,3.99,2.06,0.99,0.67,3.25,3.69,3.24,2.13,0.59,2.28,2.43,1.95,5.78,1.32,3.73,4.32,1.75,4.45,0.12,2.9,2.72,6.52,3.27,1.96,3.08,2.3,2.76,1.94,2.64,1.65,1.22,0.94,1.61,3.08,0.97,1.35,2.27,2.53,,,,,,,,,,
August,,,3.32,1.39,3.28,2.95,2,2.5,1.36,0.65,3.26,1.95,4.86,4.14,1.81,2.77,0.77,1.98,2.46,1.71,2.31,1.12,4.72,1.44,1.39,2.3,5,3.98,1.46,2.42,1.96,1.58,1.95,1.72,2.24,2.14,1.04,3.18,2.64,1.59,2.7,4.45,1.74,0.65,2.15,2.03,0.57,4.5,1.94,4.16,0.13,,,,,,,,,,
September,,,2.64,1.2,1.13,1.34,6.27,3.35,0.34,2.97,1.03,1.88,0.93,3.07,1.43,2.06,2.02,0.74,1.38,2.73,0.59,1.53,2.23,1.72,0.94,2.05,1.62,2.15,6.09,1.44,3.34,2.71,2,1.55,3.33,2.49,0.97,3.97,0.98,0.39,3.59,2.49,2.19,2.77,2.55,4.29,2.61,1.87,2.15,1.21,0.87,,,,,,,,,,
October,,,4.06,4.17,4.09,2.77,3.18,0.71,3.3,2.27,2.22,2.15,1.81,5.81,1.63,1.74,3.5,2.9,1.87,3.91,2.38,3.22,2.2,3.24,1.29,2.09,3.84,3.47,1.12,0.6,1.55,0.74,0.91,5.31,4.6,3.06,2.19,1.19,4.46,3.1,1.36,0.41,5.59,1.62,1.07,2.98,1.95,2.93,2.81,5.73,,,,,,,,,,,
