WOOTTON-HOUSE,,,,,,,,,,
Grid ref,SU593530,Long,-1.15114,Lat,51.27321,Elevation,404,ft,,
Station no,667/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,3.81
February,,,,,,,,,,2.7
March,,,,,,,,,,1.49
April,,,,,,,,,,1.01
May,,,,,,,,,,1.47
June,,,,,,,,,,2.45
July,,,,,,,,,,4
August,,,,,,,,,,3.51
September,,,,,,,,,,4.96
October,,,,,,,,,,8.98
November,,,,,,,,,,4.22
December,,,,,,,,,,3.69
Total,,,,,,,,,,42.29
,,,,,,,,,,
NGR on sheet is Wootton House. Location in MIDAS is not. Assume sometime after 1960 gauge was moved 400yds N to the farm,,,,,,,,,,
,,,,,,,,,,
SRC_ID 7603,,,,,,,,,,
Station still in use in 2021,,,,,,,,,,
