WRENTHAM-HENSTEAD-HALL,,,,,,,,,,,,,,,,,,,,
Grid ref,TM490859,Long,1.6600659,Lat,52.414374,Elevation,25,ft,,,,,,,,,,,,
Station no,RR6828,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,1.33,0.54,0.51,2.57,1.58,2.32,2.92,1.93,,1.61,1.99,,
February,,,,,,,,1.39,1.51,0.72,2.15,1.32,1.13,0.6,0.98,,4.15,0.93,,
March,,,,,,,,1.05,2.26,3.01,1.16,2.06,2.77,1.91,3.57,,3.53,2.52,,
April,,,,,,,,2.37,2.75,1.35,1.8,0.86,0.66,2.88,0.88,,1.92,2.35,,
May,,,,,,,,3.01,1.35,1.98,3.47,0.59,0.5,1.5,1.6,,1.89,0.44,,
June,,,,,,,,3.21,0.76,3.59,2.02,2.62,2.77,1.1,1.57,,2.27,2.61,,
July,,,,,,,,1.35,2.79,2.45,3.69,0.38,3.06,3.54,,,0.79,3.64,,
August,,,,,,,,1.05,1.78,1.89,2.37,0.89,7.03,0.77,0.89,,3.93,3.68,,
September,,,,,,,,0.34,1.75,2.93,2.27,1.42,3.15,1.63,1.63,,1.07,2.04,,
October,,,,,,,,4.66,1.36,4.52,1.1,3.05,1.69,3.39,2.32,,2.77,3.27,,
November,,,,,,,,2.26,1.58,1.67,3.64,3.69,2.85,1.95,3.11,,3.22,1.55,,
December,,,,,,,,3.21,1.25,4.86,4.45,3.55,2.21,0.91,5.41,,3.48,1.91,,
Total,,,,,,,,25.23,19.68,29.48,30.69,22.01,30.14,23.1,,,30.63,26.93,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1914 Jul estimated,,,,,,,,,,,,,,,,,,,,
