REIGATE-WRAY-LODGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ258510,Long,-0.19816,Lat,51.24451,Elevation,316,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,4.09,1.46,0.84,2.45,5.04,1.37,5.88,1.18,1.87,1.25,2.42,1.69,3.04,4.29,0.86,4.6,1.62,1.54,3.49,4.09,3.81,2.81,,,,,,,,,
February,5.03,1.8,1.14,1.86,3.45,1.07,2.82,1.79,1.21,0.56,4.23,1.69,2.41,1.28,5.02,5,4.84,1.12,1.75,2.45,0.71,0.17,,,,,,,,,
March,0.78,2.28,1.82,3.22,1.79,4.07,1.8,1.17,3.05,3.57,1.2,2.05,4.65,2.95,4.95,0.75,4.38,2.05,1.07,4.38,2.05,1.65,,,,,,,,,
April,1.17,2.26,0.97,2.14,1.8,1.83,0.64,3.85,2.64,1.97,1.81,1.97,0.03,3.27,1.1,1.38,1.38,2.96,3.8,3.23,3.52,1.29,,,,,,,,,
May,1.1,1.09,2.6,2.74,2.94,0.8,1.72,2.25,2.24,1.78,2.54,2.82,1.52,2.07,1.38,3,2.93,1.7,1.44,0.21,1.19,1.63,,,,,,,,,
June,2.32,1.64,3.98,5.47,1.9,5,2.18,1.71,1.93,2.65,2.02,2.77,3.66,0.52,0.72,1.04,2.38,1.64,0.81,0.95,1.85,0.13,,,,,,,,,
July,1.11,1.75,1.78,3.78,1.19,0.85,0.61,1.8,3.02,4.2,3.18,0.42,1.63,3.8,2.4,4.3,1.15,4.47,5.18,2.11,5.43,0.19,,,,,,,,,
August,2.69,2.31,3.14,4.35,1.83,2.63,1.29,2.76,4.15,2.62,3.39,0.52,6.14,2.26,1.51,1.95,3.64,5.9,1.33,2.62,1.61,1.47,,,,,,,,,
September,1.13,1.71,0.63,3.13,1.57,2.55,1.83,0.48,1.5,3.08,0.87,1.4,3.38,1.87,1.08,2.67,1.9,2.06,5.49,1.19,3.35,1.03,,,,,,,,,
October,2.01,2.66,2.55,7.02,2.47,1.44,4.41,3.95,2.23,5.16,2.87,4.26,3.26,4.4,1.85,2.53,5.42,3.91,1.66,0.84,1.12,1.14,,,,,,,,,
November,2.83,0.8,2.43,2.82,1.57,4.64,5.38,2.72,0.93,0.93,3.59,5.05,2.94,2.89,4.39,3,6.06,1.65,2.46,1.99,2.12,1.84,,,,,,,,,
December,3.09,4.6,1.47,2.33,3.11,0.73,2.41,3.44,2.99,4.14,4.25,7.24,3.6,1.53,8.42,6.59,3.18,2.18,2.85,5.08,3,2.1,,,,,,,,,
Total,27.35,24.36,23.35,41.31,28.66,26.98,30.97,27.1,27.76,31.91,32.37,31.88,36.26,31.13,33.68,36.81,38.88,31.18,31.33,29.14,29.76,15.45,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wray Lodge, Wray Park Road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1913 Sept 19th Inspection Excellent exposure on croquet lawn Quite clear of all trees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
