REIGATE-WRAY-LODGE-(ALDERS-RD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ260512,Long,-0.19616,Lat,51.24607,Elevation,330,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,2.43,3.38,6.13,5.21,1.65,2.66,1.42,6.52,1.76,3.45,0.54,1.77,1.88,3.26,2.95,2.8,4.34,2.5,1.15,1.97,3.92,3.15,,,,,,,,
February,2.38,1.7,1.61,2.4,2.1,1.27,2.99,2.99,1.93,4.01,3.48,3.36,2.45,4.55,2.37,3.76,0.57,0.78,1.46,2.7,0.76,0.01,,,,,,,,
March,2.25,2.26,2.54,2.1,0.76,0.89,3.61,3.38,1.28,0.95,0.96,2.41,1.4,1.23,2.15,1.87,2.01,1.86,4.45,2.77,2.96,2.14,,,,,,,,
April,0.46,4.29,1.15,0.88,2.45,1.4,2.59,4.2,3.91,3.49,2.01,0.73,3.24,1.46,1.81,1.8,2,1.77,2.1,2.59,2.52,0.76,,,,,,,,
May,1.31,1.15,3.28,1.84,0.86,1.17,1.36,2.49,4.49,4.7,0.27,1.81,1.75,2.24,0.62,3.68,4.77,2.02,1.13,2.72,1.78,2.18,,,,,,,,
June,0.36,2.64,3.07,3.63,3.48,2.75,1.86,1.19,1.46,4.64,3.89,2.22,2.93,1.9,1.7,1.92,1.17,0.29,4.27,0.82,3.02,1.59,,,,,,,,
July,1.33,3.38,3.2,3.43,1.75,5.67,0.54,3.62,0.84,4.8,4.93,2.33,3.39,3.42,1.69,0.33,3.54,0.75,6.08,1.97,5,4.77,,,,,,,,
August,2.18,1.48,1.65,3.46,2.75,1.18,2.89,3.15,5.39,6.02,0.85,5.12,2.25,1.17,1.35,1.17,1.55,2.74,2.04,3.59,2.84,4.82,,,,,,,,
September,1.9,4.83,2.2,2.6,3.15,2.44,3.59,1.92,1.52,3.76,5.63,3.56,2.93,3.8,3.3,5.84,2.34,2.88,0.72,1.06,1.01,1.28,,,,,,,,
October,4.94,1.72,2.33,3.5,6.27,5.3,2.31,2.29,3.1,1.51,7.99,2.82,6.27,2.9,1.73,4.6,3.4,1.77,2.34,4.97,1.32,7.17,,,,,,,,
November,2.24,0.73,4.51,3,2.5,4.25,3.09,6.63,4.86,1.91,3.36,4.6,3.23,4.6,1.83,3.64,4.28,4.68,3.8,1.17,2.33,3.84,,,,,,,,
December,3.14,2.2,4.95,0.66,1.64,2.96,8.11,2.95,1.73,1.06,3.64,3.88,3.41,0.94,3.57,1.6,4.53,2.24,1.56,1.81,0.8,4.54,,,,,,,,
Total,24.92,29.76,36.62,32.71,29.36,31.94,34.36,41.33,32.27,40.3,37.55,34.61,35.13,31.47,25.07,33.01,34.5,24.28,31.1,28.14,28.26,36.25,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beech View, Alders Rd, Wray Park, Reigate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Exact house not found, but in 1870 only centre 6 houses existed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1891 End of year marked as station terminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
