MASHAM MOOR - GREY RIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE120756,Long,-1.818,Lat,54.176,Elevation,1330,ft,,,,,,,,,,,,,,,,,,,
Station no,3407/7,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,2.01,6.50,6.65,7.98,9.70,2.65,6.14,6.20,7.80,6.04,6.88,5.20,4.73,9.25,1.50,1.95,4.66,5.75,0.96,2.98,3.62,5.44,4.60,4.20,5.99,6.70
February,,7.60,3.90,7.80,2.29,4.25,2.24,,3.02,3.50,,8.09,3.70,6.50,2.73,2.87,7.85,7.85,1.98,2.85,3.89,2.47,2.46,4.00,7.17,0.22,6.53
March,,1.50,3.20,5.00,1.12,3.63,2.85,3.65,8.50,2.45,,2.89,1.81,7.37,2.52,1.20,1.98,6.02,3.39,0.55,3.14,2.17,1.35,2.54,2.50,2.54,2.79
April,,3.80,1.90,3.80,0.37,2.07,3.02,2.80,1.95,2.68,,4.10,2.15,6.48,2.28,4.02,2.82,2.25,2.00,2.75,0.61,1.06,1.86,0.33,0.75,4.10,2.57
May,,1.10,2.60,3.95,3.45,1.16,2.19,2.42,3.54,3.68,,3.52,3.38,2.60,1.48,1.78,1.98,7.55,1.45,2.03,3.79,2.88,0.85,1.48,5.60,1.02,1.67
June,,3.60,6.10,1.86,4.48,3.32,0.42,,1.02,2.58,,2.72,2.98,3.39,3.59,0.44,1.75,1.79,1.87,3.34,2.32,2.00,3.40,1.73,4.11,1.50,1.46
July,,1.20,3.70,2.53,4.06,4.58,4.78,1.42,3.34,2.58,,3.20,3.45,1.74,0.91,2.09,3.25,1.71,1.39,4.16,2.65,1.00,5.43,3.80,4.07,2.05,6.58
August,,2.00,2.65,2.18,4.88,2.86,0.70,1.50,3.99,4.62,2.44,3.96,6.85,0.90,4.52,2.06,6.04,,3.95,4.28,6.43,1.63,7.43,6.52,3.10,0.70,3.72
September,,6.90,2.90,2.25,2.48,2.18,2.97,0.27,1.49,5.25,,3.20,7.17,2.57,2.48,1.69,5.71,2.35,4.85,3.38,4.15,1.77,4.03,4.48,2.90,0.25,4.04
October,,8.60,3.80,3.20,12.38,3.98,5.55,5.18,4.12,3.30,,7.57,2.93,1.54,1.12,4.60,1.76,1.60,5.48,3.12,7.89,2.23,2.27,4.46,3.56,5.03,8.67
November,3.50,8.00,4.60,2.50,6.74,7.05,7.34,4.34,1.38,3.19,,1.19,9.98,4.54,1.66,4.98,5.05,,2.27,2.38,7.92,3.06,0.77,2.28,0.97,6.77,7.25
December,7.90,3.25,6.15,5.76,5.98,2.80,3.48,2.42,4.75,2.81,,3.00,3.75,3.27,4.55,5.98,1.99,,3.00,2.27,4.38,5.23,5.63,4.36,4.82,10.61,5.88
Total,,49.56,48.00,47.48,56.21,47.58,38.19,,43.30,44.44,,50.32,53.35,45.63,37.09,33.21,42.13,,37.38,32.07,50.15,29.12,40.92,40.58,43.75,40.78,57.86
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_19_pt1/282,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_22_pt1/141,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_20_pt1/233,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The February 1941 reading is an estimate and has been omitted.,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The June 1941 reading is an estimate and has been omitted.,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# For 1944, the readings for every month except January and August are estimates and have been omitted.",,,,,,,,,,,,,,,,,,,,,,,,,,,
# The readings for February and March 1947 are estimated for snow and have been retained.,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# Readings for August, November and December 1951 are estimates and have been omitted.",,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The station continued until 1976 according to MIDAS.,,,,,,,,,,,,,,,,,,,,,,,,,,,
