CHAGFORD-THORNWORTHY-DOWN-(VALLEY),,,,,,,,
Grid ref,SX664846,Long,-3.890979,Lat,50.645726,Elevation,1160,ft
Station no,1748,,,,,,,
,,,,,,,,
,1957,1958,1959,1960,,,,
January,8.89,8.11,12.91,7.95,,,,
February,15.22,9.09,0.61,10.49,,,,
March,6.98,3.73,3.75,5.56,,,,
April,0.44,2.42,8.6,5.4,,,,
May,3.8,6.8,2.61,2.49,,,,
June,2.72,4.68,2.1,2.63,,,,
July,6.18,4.71,2.25,,,,,
August,5.74,7.68,2.54,,,,,
September,7.4,8.32,1.06,9.52,,,,
October,4.45,5.5,9.1,15.05,,,,
November,3.6,5.92,13.97,13.12,,,,
December,6.35,9.66,18.99,9.05,,,,
Total,71.77,76.62,78.49,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Dec 1956 gauge moved mid month,,,,,,,,
July-Aug 1960 estimated,,,,,,,,
