KINGS-SUTTON-GREYCOURT-ASTROP,,,,,,,,,,,,,,,,,,,,
Grid ref,SP505361,Long,-1.2654735,Lat,52.02103,Elevation,338,ft,,,,,,,,,,,,
Station no,RR7049,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,-999,1.07,1.85,1.01,3.44,2.62,0.63,2.71,1.36,1.59,2.37,
February,,,,,,,,,-999,0.47,3.37,1.51,1.73,1.29,2.01,2.97,3.32,1.11,1.3,
March,,,,,,,,,-999,2.26,0.79,1.98,2.69,2.79,3.11,1.2,4.21,1.75,0.68,
April,,,,,,,,,-999,2.12,2.36,0.83,0.08,3.3,0.91,0.9,1.34,1.55,3.18,
May,,,,,,,,3.15,2.16,1.73,1.93,1.09,2.2,2.07,1.2,2.19,1.96,2.73,3.23,
June,,,,,,,,2.79,1.85,4.61,2.06,1.55,3.47,0.74,3.07,0.91,3.13,1.58,0.81,
July,,,,,,,,1.64,1.75,2.71,2.06,0.39,3.34,0.96,2.52,5.11,2.21,2.56,2.79,
August,,,,,,,,2.42,2.87,2.8,2.46,1.79,5.91,0.48,1.63,1.85,2.94,5.56,1.12,
September,,,,,,,,0.7,1.26,3.1,0.46,1.85,1.1,2.3,1.31,2.33,0.71,2.03,5.05,
October,,,,,,,,5.76,1.02,3.57,2.3,2.45,2.43,3.94,2.3,2.21,3.25,3.09,1.48,
November,,,,,,,,1.76,0.98,0.71,3.3,2.33,1.35,2.87,2.96,2.06,3.36,0.93,1.81,
December,,,,,,,,3.51,1.74,3.42,5.07,5.37,3.2,0.98,5.41,4.44,3.05,1.02,1.8,
Total,,,,,,,,,22.13,28.57,28.01,22.15,30.94,24.34,27.06,28.88,30.84,25.5,25.62,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1908 Jan-Apr -999 (8.5),,,,,,,,,,,,,,,,,,,,
