KING'S SUTTON ASTROP,,,,,,,,,,,,
Grid ref,SP504362,Long,-1.266916,Lat,52.021938,,,,,,,
Station no,RR7049,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,1.07,,
February,,,,,,,,,,0.47,,
March,,,,,,,,,8.50,2.26,,
April,,,,,,,,,,2.12,,
May,,,,,,,,3.15,2.16,1.73,,
June,,,,,,,,2.79,1.85,4.61,,
July,,,,,,,,1.64,1.75,2.71,,
August,,,,,,,,2.42,2.87,2.80,,
September,,,,,,,,0.70,1.26,3.10,,
October,,,,,,,,5.76,1.02,3.57,,
November,,,,,,,,1.76,0.98,0.71,,
December,,,,,,,,3.51,1.74,3.42,,
Total,,,,,,,,,22.13,28.57,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.73,22.13,28.57,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,,
