NASEBY (NASEBY WOOLLEYS),,,,,,,,,,,,
Grid ref,SP665792,Long,-1.023883,Lat,52.406775,,,,,,,
Station no,1090/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,1.26,1.53,3.69,1.53,2.96,4.19,3.25,,
February,,,,2.58,2.17,0.81,2.59,1.40,0.10,2.01,,
March,,,,2.68,2.33,0.99,2.28,3.41,2.28,1.99,,
April,,,,0.40,1.13,0.95,0.31,0.63,2.68,0.68,,
May,,,,1.50,4.45,0.49,1.56,1.57,0.53,1.56,,
June,,,,2.98,2.45,2.87,1.79,6.09,0.82,2.45,,
July,,,,2.08,0.14,4.47,2.98,3.05,1.51,,,
August,,,2.94,4.39,0.99,5.53,2.31,2.17,0.62,,,
September,,,1.96,2.32,1.93,2.40,5.30,3.14,0.12,,,
October,,,2.26,3.68,1.51,1.50,0.85,3.43,1.95,,,
November,,,1.24,5.93,1.37,1.28,1.75,2.04,2.21,,,
December,,,0.88,3.11,2.24,4.10,2.72,2.82,4.65,,,
Total,,,,32.91,22.24,29.08,25.97,32.71,21.66,,,
Calc annual,0.00,0.00,9.28,32.91,22.24,29.08,25.97,32.71,21.66,11.94,,
Difference,NaN,NaN,NaN,-0.00,-0.00,0.00,0.00,0.00,0.00,NaN,,
