BOURNEMOUTH-TALBOT-WOODS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SZ083928,Long,-1.8836,Lat,50.73519,Elevation,125,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,5.19,1.44,4.09,2.22,2.37,2.23,2.63,0.97,5.79,6.46,3.66,6.46,3.98,4.73,4.09,,,2.08,4.43,3.45,,,
February,,,,,,,,,2.6,1.18,0.83,2.15,0.1,4.24,0.04,3.28,3.06,6.38,0.79,1.61,4.24,3.81,0.37,,,2.15,3.18,1.92,,,
March,,,,,,,,,3.15,0.14,0.96,1.27,1.7,3.47,2.9,0.91,3.48,3.73,0.32,1.39,3.13,4.17,3.35,,,0.9,1.32,7.47,,,
April,,,,,,,,,1.56,1.12,2.27,2.55,2.69,1.53,1.72,3.48,1.64,2.39,0,2.23,1.18,2.17,2.04,,,0.9,2.82,2.52,,,
May,,,,,,,,,0.97,1.92,2.05,3.24,3.45,1.76,0.84,0.96,0.72,3.47,1.53,1.12,0.99,2.37,4.13,,,2.3,4.33,1.46,,,
June,,,,,,,,,2.35,1.61,0.42,2.86,2.29,0.77,0.99,3.6,1.63,0.28,1.6,2.38,0.23,1.83,0.47,,,2.65,5.03,1.87,,,
July,,,,,,,,,1.56,1.59,1.74,3.98,3.65,1.87,0.08,0.45,4.3,2.15,2.09,4.73,3.26,2.09,,,,1.18,1.17,0.85,,,
August,,,,,,,,,2.81,1.26,3.29,3.36,0.92,1.35,4.1,3.21,0.2,1.75,1.61,2.54,0.05,4.14,,,,2.66,4.21,0.45,,,
September,,,,,,,,,1.95,0.38,3.13,1.54,3.23,2.74,2.05,3.66,3.44,2.52,1.36,2.51,1.74,1.11,,,,2.78,4.52,1.47,,,
October,,,,,,,,,6.82,3.91,2.34,0.57,5.91,1.83,1.51,6.06,1.45,5.82,3.81,6.16,5.25,0.97,,,,3.61,1.44,1.51,,,
November,,,,,,,,,2.8,8.54,5.97,4.83,2.2,0.85,2.38,8.06,2.53,1.39,5.24,6.38,8.55,2.23,,,7.16,1.11,6.37,1.77,,,
December,,,,,,,,4.09,3,6.31,4.1,1.27,1.27,1.23,8.94,4.85,4,4.63,4.04,1.83,2.91,2.66,,,2.9,5.08,3.98,3.16,,,
Total,,,,,,,,,34.76,29.4,31.19,29.84,29.78,23.87,28.18,39.49,32.24,40.97,26.05,39.34,35.51,32.28,,,,27.4,42.8,27.9,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge from Church Stretton Salop/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brendon 6 Nairn Road Talbot Woods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation given most often on sheets is 110ft but lowest in this area is 144ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942-1944 Observer left area but then returned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948 Observer dies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
