KINBRACE HRS,,,,,,,,,,,,,,,,,,,,
Grid ref,NC 862 315,Long,-3.940518,Lat,58.257338,Elevation,390,ft,,,,,,,,,,,,
Station no,RR2000,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,2.9,1.09,,1.68,1.5,3.19,2.08,5.1,1.95,,,,
February,,,,,,,,3.8,1.16,,1.9,1.72,1.89,2.39,1.14,2.37,,,,
March,,,,,,,,2.85,1.73,,1.4,0.05,4.37,2.37,2.9,2.41,,,,
April,,,,,,,,1.55,0.2,,1.97,0.93,2.1,1.28,0.8,1.44,,,,
May,,,,,,,,1.03,2.3,,0.99,1.68,1.29,2.21,3.08,3.35,,,,
June,,,,,,,,3.69,0.5,1.34,3.24,2.48,4.5,1.07,1.43,,,,,
July,,,,,,,,2.5,0.44,3.82,3.85,3.56,5.37,3.39,1.64,,,,,
August,,,,,,,,3.86,0.79,2.53,0.57,2.01,2.6,3.64,3.1,,,,,
September,,,,,,,,1.5,2.51,0.52,1.98,2.54,4.49,3.36,1.6,,,,,
October,,,,,,,,2.11,2.99,1.37,3.83,4.46,2.17,3.85,5.08,,,,,
November,,,,,,,,5.19,5.83,1.04,4.16,3.07,4.24,3.86,4.33,,,,,
December,,,,,,,,2.76,4.2,0.85,3.72,2.33,4.54,4.4,3.57,,,,,
Total,,,,,,,,33.74,23.74,,29.29,26.33,40.75,33.9,33.77,,,,,
