"GUISBOROUGH (PINCHINTHORPE HOUSE)",,,,,,,,,,,,
Grid ref,NZ580149,Long,-1.105363,Lat,54.526074,,,,,,,
Station no,3478/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.12,2.22,1.12,2.61,2.09,2.80,1.72,1.73,2.83,5.70,,
February,2.04,0.68,2.31,1.19,2.53,2.38,2.52,2.79,0.65,2.51,,
March,3.72,1.76,0.17,1.70,1.86,0.54,0.89,3.26,0.63,1.31,,
April,2.17,1.69,1.99,0.21,1.30,1.30,0.75,1.94,2.43,0.70,,
May,5.15,1.00,1.68,3.64,2.64,0.55,1.22,3.16,1.00,0.95,,
June,2.08,1.28,2.98,2.84,2.71,4.04,4.08,3.34,2.18,0.45,,
July,2.39,1.90,4.21,1.40,1.21,3.82,3.82,2.70,2.63,5.98,,
August,6.97,2.38,3.14,7.55,0.94,8.08,3.00,2.17,0.27,3.17,,
September,1.13,6.94,1.84,1.44,1.36,1.63,3.48,1.76,1.16,3.38,,
October,2.07,3.56,1.97,4.85,1.72,1.67,2.23,1.53,1.53,9.23,,
November,5.39,4.46,1.61,4.29,1.89,1.93,2.55,0.80,4.64,3.66,,
December,3.26,2.39,1.21,2.09,3.19,1.96,2.44,3.28,3.60,3.49,,
Total,38.49,30.26,24.23,33.81,23.44,30.70,28.70,28.46,23.55,40.53,,
Calc annual,38.49,30.26,24.23,33.81,23.44,30.70,28.70,28.46,23.55,40.53,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,,
