WIMBLEDON-COMPTON-ROAD,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ247708,Long,-0.20791711,Lat,51.422503,Elevation,80,ft.,,,,,,,,,,,,,
Station no,108,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,2.81,1.57,2.1,1.79,3.02,0.85,2.56,1.2,1.65,1.1,1.43,,,,,,
February,,,,,0.47,3,2.54,3.29,1.3,0.41,0.58,1.61,0.21,2.32,0.28,,,,,,
March,,,,,0.37,0.59,0.16,2.65,1.48,0.02,1.74,0.23,1.32,2.27,2.03,,,,,,
April,,,,,3.75,1.77,3.36,1.6,1.39,0.97,1.43,3.77,2.18,0.66,1.99,,,,,,
May,,,,,2.99,1.6,1.53,1.18,2.31,1.34,2.62,2.65,4.33,2.08,0.43,,,,,,
June,,,,,3.12,0.11,3.68,3.84,2.4,1.06,0.67,1.69,0.78,1.37,0.74,,,,,,
July,,,,,3.37,3.74,1.73,2.38,2.18,1.52,1.87,2.91,2.16,1.45,2.11,,,,,,
August,,,,,2.63,2.25,0.91,4.4,2.38,1.97,2.99,5.51,1.05,0.63,2.18,,,,,,
September,,,,,2.98,2.07,1.78,4.21,0.93,0.16,3.35,2.75,2.14,2.95,1.27,,,,,,
October,,,,,3.34,2.47,2.25,1.02,4.09,2.49,1.07,0.75,5.2,1.43,1.23,,,,,,
November,,,,,2.41,1.58,4.72,2.59,1.64,5.38,3.94,2.17,1,0.89,1.94,,,,,,
December,,,,,2.8,2.21,0.28,3.43,2.25,4.38,1.59,0.53,0.42,0.36,4.43,,,,,,
Total,,,,,31.04,22.96,25.04,32.38,25.37,20.55,24.41,25.77,22.44,17.51,20.06,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"NGR is 9 Compton Road, the address on the 1920s record. Altitudes match",,,,,,,,,,,,,,,,,,,,,
