SOUTHAMPTON-HIGHFIELD-(IVY-BANK-DAILY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU421148,Long,-1.40165,Lat,50.93137,Elevation,140,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,1.49,4.18,0.86,2.91,1.6,3.1,3.49,2.84,3.81,3.17,1.22,0.77,3.8,2.89,,,,,,,,
February,,,,,,,,,2.79,4.21,3.62,3.44,1.97,4.29,2.44,3.26,0.77,0.96,1.1,1.88,0.82,0.12,,,,,,,,
March,,,,,,,,,1.58,0.51,0.99,2.55,0.72,0.99,2.44,2.24,2.45,1.71,3.27,2.75,1.17,2.73,,,,,,,,
April,,,,,,,,,3.15,3.3,2.1,0.68,3.65,1.12,1.87,1.59,2.46,1.05,2.33,2.11,2.72,0.99,,,,,,,,
May,,,,,,,,,4.38,3.03,0.34,1.01,1.73,2.39,1.51,3.61,3.74,1.09,2.26,2.87,1.92,2.77,,,,,,,,
June,,,,,,,,,2.25,5.13,2.18,1.86,2.95,1.78,2.18,1.61,0.66,1.08,2.72,0.39,3.02,2.09,,,,,,,,
July,,,,,,,,,1.12,4.88,4.79,1.78,2.69,3.41,2.16,0.25,2.51,0.72,5.71,3.13,4.03,2.67,,,,,,,,
August,,,,,,,,,6.66,6.66,1.05,4.65,2.04,1.18,1.34,0.65,1.14,2.78,2.4,2.22,3.51,5.31,,,,,,,,
September,,,,,,,,,1.81,3.58,5.62,2.21,2.2,4.33,2.08,4.8,2.4,2.68,1.2,1.08,1.45,1.42,,,,,,,,
October,,,,,,,,,3.66,0.91,4.37,1.52,6.77,2.7,0.93,4.01,4.96,1.41,1.7,5.41,0.95,9.36,,,,,,,,
November,,,,,,,,,2.59,0.5,2.81,4.98,3.84,4.38,1.65,3.18,3.72,4,5.27,1.47,2,3.79,,,,,,,,
December,,,,,,,,,1.75,0.81,4.21,2.98,2.73,0.81,3.48,1.88,7.2,1.93,2.09,2.12,1.51,4.78,,,,,,,,
Total,,,,,,,,,33.23,37.7,32.94,30.57,32.89,30.48,25.57,29.92,35.82,22.58,31.27,26.2,26.9,38.92,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1878-1879 taken to be daily read as 1879 total on other sheet is higher which matches other monthly readings ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1891 daily readings taken from monthly gauge as note says it was read daily - diameter, height, alt all match",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
