SOUTHAMPTON-HIGHFIELD-(IVY-BANK-MONTHLY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU421148,Long,-1.40165,Lat,50.93137,Elevation,140,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,,4.23,0.86,2.73,1.61,3.18,3.51,2.87,3.88,3.22,1.25,0.79,3.85,,,,,,,,,
February,,,,,,,,,,4.34,3.61,3.45,1.91,4.44,2.45,3.31,0.78,0.99,1.12,1.91,0.82,,,,,,,,,
March,,,,,,,,,,0.55,1.02,2.57,0.72,1,2.47,2.28,2.5,1.74,3.36,2.8,1.2,,,,,,,,,
April,,,,,,,,,,3.34,2.09,0.68,3.74,1.16,1.9,1.62,2.51,1.06,2.36,2.14,2.73,,,,,,,,,
May,,,,,,,,,,3.02,0.33,0.99,1.74,2.43,1.52,3.65,3.77,1.11,2.26,2.86,1.93,,,,,,,,,
June,,,,,,,,,,5.16,2.16,1.91,3.01,1.83,2.18,1.63,0.65,1.07,2.77,0.37,3.01,,,,,,,,,
July,,,,,,,,,,4.92,4.83,1.74,2.74,3.46,2.2,0.26,2.6,0.72,5.77,3.17,4.08,,,,,,,,,
August,,,,,,,,,,6.64,1.08,4.71,2.03,1.21,1.48,0.68,1.21,2.84,2.43,2.28,3.54,,,,,,,,,
September,,,,,,,,,,3.6,5.67,2.2,2.31,4.43,2.1,4.9,2.46,2.73,1.28,1.11,1.46,,,,,,,,,
October,,,,,,,,,,0.89,4.44,1.52,7.11,2.75,0.94,4.08,5.07,1.46,1.74,5.46,1.01,,,,,,,,,
November,,,,,,,,,,0.52,2.84,5.05,3.94,4.45,1.67,3.22,3.76,4.08,5.32,1.51,2.02,,,,,,,,,
December,,,,,,,,,,0.8,4.22,3.04,2.83,0.83,3.51,1.9,7.27,1.99,2.14,2.14,1.51,,,,,,,,,
Total,,,,,,,,,,38.01,33.15,30.59,33.69,31.17,25.93,30.4,36.46,23.01,31.8,26.54,27.16,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1879 taken to be monthly read as total is higher than on other sheet which matches other monthly readings ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
