EGREMONT RINGINGSTONE,,,,,,,,,,,,,,,,,,,,
Grid ref,NX997107,Long,-3.549593,Lat,54.4817,Elevation,260,ft,,,,,,,,,,,,
Station no,RR7611,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,4,2.58,4.05,2.24,3.45,3.58,3.51,4.46,,,,
February,,,,,,,,,2.58,2.9,6.04,4.85,2.98,2.16,4.48,5.98,,,,
March,,,,,,,,,3.72,3.96,1.85,1.33,5.42,3.9,4.95,2.52,,,,
April,,,,,,,,,2.46,4.16,2.88,3.92,0.99,4.27,1.24,3.03,,,,
May,,,,,,,,,3.35,2.78,3.51,4.25,2.48,4.61,2.63,1.19,,,,
June,,,,,,,,,2.88,3.64,2.18,4.52,6.27,2.74,1.2,1.82,,,,
July,,,,,,,,,4.84,8.24,5.03,1.23,3.43,1.14,6.26,5.9,,,,
August,,,,,,,,,4.59,3.33,7.43,2.87,6.52,2.19,3.98,2.11,,,,
September,,,,,,,,,5.58,4.22,0.84,3.44,1.85,3.15,1.98,1.95,,,,
October,,,,,,,,,1.93,10.08,2.53,3.95,5.12,4.96,1.63,1.72,,,,
November,,,,,,,,,3.87,1.94,5.88,5.5,4.75,4.34,5.48,1.96,,,,
December,,,,,,,,,4.91,7.7,6.05,10.22,5.68,3.17,6.33,7.29,,,,
Total,,,,,,,,,44.71,55.53,48.27,48.32,48.94,40.21,43.67,39.93,,,,
,,,,,,,,,,,,,,,,,,,,
"NGR placed near to Ringinstone Quarry (dis), ok for dist/dir from church and station; bit high for record's elevation",,,,,,,,,,,,,,,,,,,,
