KENDAL ELLERGREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD500956,Long,-2.770803,Lat,54.353469,Elevation,290,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,4.18,3.54,4.36,10.5,4.92,7.17,,7.02,3.11,4.94,1.4,6.7,10.11,8.88,4.42,4.08,9.87,6.31,2.66,,1.48,8.54,4.83,8.04,3.45,4.87,5.97,6.87,7.25,8.68,3.14,8.01,7.04,8.75,10.93,6.65,6.09,5.67,6.61,10.32,7.92,15.25,2.12,10.5,6,8.75,5.9,7.76,2.74,6.73,6.02,10.13,6.78,2.65,1.01,6.94,10.04,7.04,5.48,7.37,6.08,10.95,4.8,3.73,7.56,5.99,3.02,5.64,4.63,,,,,
February,,,,,,,,3.57,1.35,5.14,0.87,0.87,2.31,,10.63,0.85,4.19,5.19,6.61,5.45,4.47,1.6,2.36,7.11,3.77,2.94,,4.23,3.2,2.68,7.58,9.27,4.62,3.83,8.05,9.7,6.31,1.78,7,1.4,6.61,0.28,6.14,7.03,1.09,6.77,11.65,4.64,7.4,1.74,0.5,6,0.08,5.02,0.31,8.85,2.48,8.27,3.21,6.29,1.87,6.19,2.01,3.73,3.37,7.7,4.71,0.76,5.2,5.05,8.14,5.59,1.31,3.86,4.03,1.79,,,,,
March,,,,,,,,2.15,3.47,3.98,5.94,2.57,1.36,,4.28,5.64,8.59,10.1,1.68,3.41,0.48,5.41,3.67,7.46,3.3,3.67,,6.83,4.61,4.34,2.43,2.26,7.82,7.35,6.68,2.51,2.36,2.72,2.53,5.19,7.23,8.17,4.01,2.33,3.28,2.58,4.41,7.72,5.5,1.31,3.5,1.1,4.16,4.09,3.71,1.98,3.71,1.92,3.77,3.16,6.49,3.92,4.09,1.63,0.6,3.81,3.16,6.71,4.59,2.83,3.8,5.72,4.06,0.93,4.12,1.74,,,,,
April,,,,,,,,3.25,2.49,2.43,1.99,2.43,1.77,0.98,2.5,3.27,2.01,3.23,5.51,5.82,4.34,4.21,2.34,2.32,5.16,4.79,,2.93,2.74,4.66,2.96,4.55,1.32,7.08,1.63,3.63,3.2,2.35,1.31,3,6.53,1.92,2.69,4.32,2.95,6.94,3.11,4.19,2.47,2.67,2.5,3,4.72,2.59,4.75,4.91,0.93,3.49,0.68,2.28,2.17,1.64,3.08,3.65,3.82,3.3,1.73,6.99,3.05,6.58,4.77,3.44,4.12,3.33,2.64,3.46,,,,,
May,,,,,,,,1.78,3.32,4.19,3.18,2.4,6.7,2.64,4.35,0.73,0.49,2.81,3.03,5.78,3.05,2.37,3.32,4.05,3.39,2.08,,7.09,5.01,2.51,2.94,2.91,2.21,3.18,2.79,1.43,4.61,3.19,2.51,1.92,7.76,4.21,4.36,3.89,7.73,7.32,3.17,4.06,0.9,3.56,2.2,3.6,5.34,2.86,4.97,0.47,1.21,2.95,5.6,0.84,0.93,3.72,5.15,6.18,3.23,5.06,1.61,4.36,2.24,3.25,2.08,1.36,2.9,3.44,5.01,4.48,,,,,
June,,,,,,,,0.48,2.48,1.29,4.07,1.38,4.21,1.56,3.72,2.6,3.94,4.36,4.08,1.61,4.39,3.33,1.95,2.88,1.5,2.28,,11,3.4,3.04,1.94,3.2,7.36,5.2,1.54,1.37,3.03,3.25,3.19,2.79,2.92,0.36,3.71,1.2,4.05,0.26,5.05,6.16,7.54,2.79,2.9,7.6,3.06,2.55,3.67,6.46,5,3.38,6.66,3.82,1.15,0.4,1,5.68,4.66,5.37,5.57,4.31,8.38,1.49,4.01,1.05,4.5,4.23,7.5,5.59,,,,,
July,,,,,,,,2.98,7.49,4.38,5.35,3.7,2.99,4.7,3.95,8.88,3.99,2.07,1.26,4.08,2.81,1.86,4.06,5.83,3.32,2.09,,4.02,5.4,6.6,5.27,1.05,4.8,0.87,4.14,5.7,4.09,2.77,7.26,1.76,7.36,2.72,6.74,6.2,5.91,2.62,6.4,6.82,8.94,6.7,3.9,7.3,6.81,3.54,1.98,2.64,6.47,3.77,7.53,8.92,5.71,3.47,4.89,5.63,4.13,3.43,5.81,5.1,3,4.09,5.45,4.01,2.52,6.91,5.87,2,,,,,
August,,,,,,,,2.57,4.16,5.39,5.84,11.93,9.53,4.96,5.09,7.05,2.62,6.2,10.85,2.05,6.11,4.68,3.68,9.88,4.3,5.05,,6.59,6.01,3.42,8.33,3.43,7.71,2.48,5.82,3.53,3.51,11.5,4.93,4.83,3.51,9.01,5.85,10.84,4.4,6.58,6.37,7.34,8.67,7.15,6.3,4.5,1.97,3.88,5.17,4.38,4.1,2.72,3.55,3.51,1.68,5.8,5.87,9.65,4.66,2.37,5.42,0.37,6.95,3.55,11.06,5.77,7.41,7.28,7.4,2.49,,,,,
September,,,,,,,,4.98,1.77,2.6,3.11,7.58,11.19,5.79,0.37,1.85,8.56,6.8,2.74,7.09,5.15,3.73,2.85,8.4,3.15,2.72,,0.84,7.28,3.87,0.65,5.04,2.51,3.14,4.45,2.91,2.75,5.59,13.82,5.14,4.31,2.51,4.57,7.52,8.78,6.35,7.38,8.14,4.27,2.91,3.5,2.4,7.34,1.14,7.55,10.19,6.72,5.69,2.72,2.15,4.64,1.99,6.03,6.58,6.56,5.47,9.33,4.94,7.75,1.73,11.97,6.21,5.09,9.69,11.04,4.24,,,,,
October,,,,,,,,2.23,6.33,6.48,5.28,6.42,6.19,6.2,5.69,6.33,6.19,3.34,6.02,5.43,9.84,6.45,4.81,12.68,3.18,3.55,,6.56,3.31,9.3,2.5,5.99,7.33,4.72,2.13,1.32,12.15,10.49,8.4,2.32,1.97,2.97,2.12,10,5.9,8.66,5.92,6.32,8.95,8.13,10.3,5.3,10.05,6.09,9.41,9.01,6.09,2.82,14.59,1.97,6.69,7.26,5.59,7.83,5.99,8.54,1.35,0.97,4.95,7.66,5.96,1.1,4.42,3.05,13.9,3.47,,,,,
