TORNAVEEN BY ABERDEEN,,,,,,,,,,
Grid ref,NJ 61674 05730,Long,-2.634914,Lat,57.140857,Elevation,713,ft,,
Station no,RR8558,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,0.9,2.55,,,,
February,,,,,4.7,4.5,,,,
March,,,,,2.7,3.7,,,,
April,,,,,1.4,0.4,,,,
May,,,,,2.1,2.7,,,,
June,,,,,1.2,0.5,,,,
July,,,,,2.9,3.2,,,,
August,,,,,1.6,4.1,,,,
September,,,,,3.3,,,,,
October,,,,,7.2,,,,,
November,,,,,6.9,,,,,
December,,,,,3.1,,,,,
Total,,,,,38,,,,,
,,,,,,,,,,
Station no,RR8558,,,,,,,,,
Midas,,,,,,,,,,
Hyd Stn,,,,,,,,,,
