THORNEY-NUTSGROVE-FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF328058,Long,-0.039128,Lat,52.63371,Elevation,12,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1220/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,4.46,,2.69,2.24,3.67,1.77,1.43,1.51,,2.96,0.88,0.39,2.17,1.02,0.76,0.79,1.88,3.37,0.93,1.89,2.56,2.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,0.31,,1.95,0.93,0.32,1.18,1.61,1.86,1.32,0.44,0.3,2.76,2.09,0.22,,1.93,1.95,0.73,2.25,2.59,0.23,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,1.61,1.59,3.3,1.07,0.42,1.32,0.61,0.67,3.73,0.49,0.74,0.49,2.97,2.47,0.35,1.66,1.76,0.48,1.76,1.27,1.91,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,1.71,,0.67,0.54,0.83,,0.82,0.68,1.57,1.22,1.23,1.92,2.38,1.16,1.18,0.18,0.88,0.86,0.29,0.61,0.97,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,0.68,0.88,2.23,2.69,2.02,0.67,1.53,0.98,0.51,3.17,2.25,2.78,3.27,1.83,1.87,3.2,2.45,0.74,1.31,2.89,0.64,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,1.53,0.54,0.7,0.58,1.91,1.78,2.01,2.07,3.39,2.17,0.92,2.39,0.76,1.02,3.19,2.04,2.33,2.49,1.89,4.55,0.55,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,2.02,3.32,3.3,2.97,1.15,2.46,1.07,2.29,2.99,1.02,1.46,3.52,0.86,0.13,2.08,2.53,0.15,3.35,3.07,3.24,2.2,2.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,2.42,0.21,3.59,1.87,1.52,2.48,2.09,3.43,0.07,2.66,1.08,1.86,3.54,2.86,2.2,5.1,0.93,3.53,2.31,2.15,1.18,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,0.62,0.31,0.56,1.06,1.69,2.92,1.4,2.08,0.7,1.34,1.21,2.62,1.46,2.01,1.02,1.69,1.41,1.63,4.08,3.74,0.02,2.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,3.29,1.23,2.07,1.9,1.05,2.49,1.94,1.42,0.17,2.83,3.07,0.5,0.9,1.66,1.77,2.14,1.74,0.86,1.04,1.34,1.23,4.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,2.91,5.46,3.2,2.78,1.14,2.14,0.41,3.52,1.2,1.2,2.21,2.88,2.7,2.63,1.43,4.35,0.98,0.7,1.37,1.24,1.46,3.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
