"THORNEY (NUTSGROVE FARM)",,,,,,,,,,,,
Grid ref,TF328058,Long,-0.039128,Lat,52.633710,,,,,,,
Station no,1220/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.17,1.02,0.76,0.79,1.88,3.37,0.93,1.89,2.56,2.77,,
February,2.09,0.22,1.56,1.93,1.95,0.73,2.25,2.59,0.23,1.51,,
March,2.97,2.47,0.35,1.66,1.76,0.48,1.76,1.27,1.91,1.50,,
April,2.38,1.16,1.18,0.18,0.88,0.86,0.29,0.61,0.97,0.33,,
May,3.27,1.83,1.87,3.20,2.45,0.74,1.31,2.89,0.64,0.73,,
June,0.76,1.02,3.19,2.04,2.33,2.49,1.89,4.55,0.55,2.26,,
July,0.86,0.13,2.08,2.53,0.15,3.35,3.07,3.24,2.20,2.54,,
August,3.54,2.86,2.20,5.10,0.93,3.53,2.31,2.15,1.18,2.30,,
September,1.46,2.01,1.02,1.69,1.41,1.63,4.08,3.74,0.02,2.11,,
October,0.90,1.66,1.77,2.14,1.74,0.86,1.04,1.34,1.23,4.74,,
November,2.70,2.63,1.43,4.35,0.98,0.70,1.37,1.24,1.46,3.39,,
December,1.12,1.41,0.72,2.26,1.18,1.90,1.87,2.34,3.16,2.98,,
Total,24.22,18.42,18.13,27.87,17.64,20.64,22.17,27.85,16.11,27.16,,
Calc annual,24.22,18.42,18.13,27.87,17.64,20.64,22.17,27.85,16.11,27.16,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
