BALDERSBY,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE355786,Long,-1.457,Lat,54.202,Elevation,101,ft,,,,,,,,,,,,,
Station no,RR3129,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904
January,4.42,1.98,2.63,2.09,0.62,0.90,2.94,1.10,1.22,1.38,2.81,4.10,0.51,1.75,0.52,2.87,2.89,1.52,0.72,2.48,2.52
February,1.52,1.79,0.55,0.93,1.86,1.02,0.80,0.00,1.81,2.27,3.21,0.56,0.46,1.90,0.98,1.56,6.59,1.30,1.37,1.82,2.46
March,2.44,1.66,2.33,1.58,3.40,2.42,1.77,1.48,0.76,0.37,1.37,2.17,2.41,3.01,1.35,1.24,0.81,2.48,0.80,3.13,1.72
April,1.91,1.61,2.05,0.78,1.93,1.70,0.85,2.23,1.29,0.63,1.57,1.63,0.61,1.35,2.89,2.46,1.36,2.05,1.59,1.11,1.56
May,1.09,1.70,3.85,1.98,0.75,3.55,2.18,1.58,2.42,1.68,1.88,0.70,0.46,1.13,1.88,3.83,1.33,0.96,2.32,4.27,3.84
June,1.09,2.85,0.48,0.30,1.44,0.30,2.42,0.38,3.30,1.03,3.53,3.49,2.86,3.11,1.70,2.61,3.29,1.48,1.96,1.71,1.35
July,6.35,0.89,4.72,0.75,4.46,1.78,2.53,3.32,1.71,3.10,2.24,5.77,2.17,1.29,1.01,1.85,1.20,1.89,1.88,3.44,1.67
August,1.44,1.96,1.47,1.12,2.06,4.24,3.82,3.29,3.97,2.61,2.30,2.22,1.87,3.32,2.64,1.44,6.00,1.54,2.43,2.09,3.04
September,1.38,2.96,1.47,3.51,0.82,0.93,2.83,1.90,0.75,1.12,1.05,1.08,2.65,1.64,0.60,3.28,0.86,1.26,0.88,3.51,1.26
October,1.15,3.68,4.30,2.65,0.49,3.06,0.61,4.00,5.24,1.46,4.26,2.95,3.78,2.09,2.69,2.03,3.73,1.65,2.39,7.17,0.57
November,1.60,1.93,2.29,1.88,3.50,0.67,3.24,2.81,1.43,1.85,1.47,4.06,1.36,1.53,3.11,1.85,3.18,3.92,1.79,1.26,1.97
December,1.92,0.70,2.92,2.10,1.74,1.51,0.86,2.75,0.53,2.61,1.64,2.18,3.37,2.81,1.96,2.93,2.29,3.65,2.17,1.29,2.02
Total,26.31,23.71,29.06,19.67,23.07,22.08,24.85,24.84,24.43,20.11,27.33,30.91,22.51,24.93,21.33,27.95,33.53,23.70,20.30,33.28,23.98
,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_11_pt2/023,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_17_pt1/171,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_22_pt1/128,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
# Detailed location not determined - the grid reference is central Baldersby village.,,,,,,,,,,,,,,,,,,,,,
