LOCH DOON (GARPEL BURN),,,,,,,,,,,,
Grid ref,NX482985,Long,-4.390062,Lat,55.257231,,,,,,,
Station no,5257/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,7.00,5.09,3.94,7.94,6.00,3.66,5.77,,
February,,,,5.47,2.67,1.51,4.47,6.02,2.75,7.56,,
March,,,,3.96,1.89,3.44,4.88,1.56,4.94,1.85,,
April,,,,1.70,3.03,1.37,2.32,2.24,5.19,6.71,,
May,,,,4.47,4.35,2.99,2.50,3.26,2.17,2.27,,
June,,,,4.13,2.80,4.19,1.65,3.14,3.35,3.37,,
July,,,,5.37,1.54,6.84,5.75,4.75,6.31,4.84,,
August,,,,5.05,1.94,7.14,5.05,4.20,1.41,3.75,,
September,,,,8.44,6.20,4.53,4.47,5.38,2.03,3.75,,
October,,,,10.61,4.69,4.89,5.96,5.38,8.76,4.20,,
November,,,,10.97,5.22,2.89,2.67,2.11,8.34,10.80,,
December,,,,11.52,9.86,8.70,7.78,6.50,10.59,6.79,,
Total,,,,78.69,49.28,52.43,55.44,50.54,59.50,61.66,,
Calc annual,0.00,0.00,0.00,78.69,49.28,52.43,55.44,50.54,59.50,61.66,,
Difference,NaN,NaN,NaN,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,,
