NEWTYLE (COMMERCIAL STREET),,,,,,,,,,,,,,,,,,,,
Grid ref,NO299414,Long,-3.142105,Lat,56.559315,Elevation,250,ft,,,,,,,,,,,,
Station no,5574/55,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,5.67,6.58,1.73,1.73,3.7,1.21,0.44,1.82,1.79,3.67,3.92,3.11,1.31,5.22
February,,,,,,,2.94,3.36,2.35,3.2,4.44,1.84,0.94,4.27,1.54,1.24,5.59,2.91,0.3,3.64
March,,,,,,,3.56,1.13,1.57,2.22,2.03,2.63,0.49,3.99,2.54,2.19,2.65,4.52,2.05,2.41
April,,,,,,,3.92,0.99,1.54,1.19,1.36,0.84,2.73,0.94,0.85,0.74,0.81,1.76,3.47,4.04
May,,,,,,1.56,4.18,3.72,2.05,1.57,2.15,2.46,1.52,5.18,1.97,1.07,2.3,3.7,0.73,2.4
June,,,,,,3.31,3.46,4.38,1,0.89,1.92,1.75,1.6,3.08,1.3,2.95,1.03,3.61,2.15,2.8
July,,,,,,4,2.74,3.06,2.41,5.25,3.89,1.46,3.28,3.38,1.05,3.99,4.38,4.75,2.99,3.48
August,,,,,,4.29,0.19,7.91,2.9,3.95,3.72,2.35,1.84,2.18,0.58,4.93,4.29,3.93,0.61,5.44
September,,,,,,3.91,3,2.83,1.88,6.02,1.78,0.41,2.99,3.07,1.5,4.89,1.88,3.38,0.8,2.03
October,,,,,,0.29,2,3.05,3.55,1.15,0.69,3.72,1.43,6.09,2.6,1.71,1.65,2.35,2.33,7.81
November,,,,,,7.17,2.5,1.02,4.25,3.81,10.6,1.64,3.22,7.24,2.11,0.93,2.05,0.52,7.04,4.02
December,,,,,,4.27,1.21,4.23,2.53,1.34,1.59,1.93,3.6,4.06,6.65,5.55,5.86,5.7,8.33,2.54
Total,,,,,,,35.37,42.26,27.76,32.32,37.87,22.24,24.08,45.3,24.48,33.86,36.41,40.24,32.11,45.83
,,,,,,,,,,,,,,,,,,,,
1946 Ja to Ap Deleted Dup,,,,,,,,,,,,,,,,,,,,
NEWTYLE-OLD-CHEMICAL-WORKS,,,,,,,,,,,,,,,,,,,,
Received late so NP BR,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,5574/55,,,,,,,,,,,,,,,,,,,
Midas,15246,,,,,,,,,,,,,,,,,,,
Hyd Stn,874548,,,,,,,,,,,,,,,,,,,
