NEWTYLE (COMMERCIAL STREET),,,,,,,,,,,,
Grid ref,NO299414,Long,-3.142105,Lat,56.559315,,,,,,,
Station no,5574/55,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.70,1.21,0.44,1.82,1.79,3.67,3.92,3.11,1.31,5.22,,
February,4.44,1.84,0.94,4.27,1.54,1.24,5.59,2.91,0.30,3.64,,
March,2.03,2.63,0.49,3.99,2.54,2.19,2.65,4.52,2.05,2.41,,
April,1.36,0.84,2.73,0.94,0.85,0.74,0.81,1.76,3.47,4.04,,
May,2.15,2.46,1.52,5.18,1.97,1.07,2.30,3.70,0.73,2.40,,
June,1.92,1.75,1.60,3.08,1.30,2.95,1.03,3.61,2.15,2.80,,
July,3.89,1.46,3.28,3.38,1.05,3.99,4.38,4.75,2.99,3.48,,
August,3.72,2.35,1.84,2.18,0.58,4.93,4.29,3.93,0.61,5.44,,
September,1.78,0.41,2.99,3.07,1.50,4.89,1.88,3.38,0.80,2.03,,
October,0.69,3.72,1.43,6.09,2.60,1.71,1.65,2.35,2.33,7.81,,
November,10.60,1.64,3.22,7.24,2.11,0.93,2.05,0.52,7.04,4.02,,
December,1.59,1.93,3.60,4.06,6.65,5.55,5.86,5.70,8.33,2.54,,
Total,37.87,22.24,24.08,45.30,24.48,33.86,36.41,40.24,32.11,45.83,,
Calc annual,37.87,22.24,24.08,45.30,24.48,33.86,36.41,40.24,32.11,45.83,,
Difference,-0.00,-0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,,
