TAUNTON-BISHOPS-LYDEARD-HOUSE,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST166298,Long,-3.19074,Lat,51.06208,Elevation,185,ft,,,,,,,,,,,,,
Station no,RR7941,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890
January,,,5.16,4.57,3.62,4.7,1.26,5.03,1.82,3.5,1.02,1.24,1.76,2.97,4.03,2.75,4.74,2.5,0.99,0.86,3.81
February,,,3.62,2.14,3.1,2.09,3.91,2.04,1.54,4.05,4.17,3.63,1.43,4.23,3.75,3.63,0.9,0.48,0.69,2.26,1.29
March,,,2.81,3.66,0.99,1.34,4.86,2.54,1.61,0.9,2.29,2.15,1.69,1.06,2.4,1.2,2.58,1.66,3.92,4.75,1.19
April,,,2.94,1.05,2.21,2.05,3.43,3.56,3.62,2.15,1.79,1.24,4.03,1.1,1.73,2.67,2.97,1.36,2.66,2.52,3.23
May,,,2.17,1.75,1.12,3.92,0.26,3.58,5.02,3.28,1.34,1.01,,1.42,1.32,3.57,4.95,2.74,1.52,2.17,1.9
June,,2.63,3,1.86,1.05,3.62,1.26,1.9,1.69,5.83,1.82,3.43,,2.7,2.18,1.76,0.74,0.27,2.8,0.57,
July,,-999,4.86,2.39,1.29,4.42,0.4,2.68,2.58,3.07,5.05,2.52,3.89,2.35,2.95,0.5,2.68,0.91,6.28,2.65,
August,,-999,2.69,3.73,3.6,2.25,3.05,4.04,5.52,7.37,,5.46,2.45,1.54,1.49,1.28,1.63,1.31,2.22,2.87,
September,,5.17,3.17,2.33,5.23,2.44,7.72,2.17,2.42,3,3.68,2.77,4.07,4.59,2.24,4.97,2.84,3.09,1.02,1.53,
October,,3.14,4.15,2.73,3.91,7.01,2.61,2.8,4.96,1.87,6.5,2.28,7.5,3.31,0.93,5.23,5.7,3.62,1.04,4.82,
November,,1.56,5.26,2.84,2.47,4.4,4.37,6.26,4.73,0.67,2.54,3.48,4.93,4.68,1.78,3.63,3.48,3.76,7.22,1.3,
December,,2.23,4.84,0.5,4.15,1,7.01,2.18,2.51,1.22,3.99,3.06,3.87,1.35,3.76,1.53,6.38,2.79,2.66,2.02,
Total,,,44.67,29.55,32.74,39.24,40.14,38.78,38.02,36.91,,32.27,,31.3,28.56,32.72,39.59,24.49,33.02,28.32,
,,,,,,,,,,,,,,,,,,,,,
1871 July Aug Bracketed Combined total 3.80,,,,,,,,,,,,,,,,,,,,,
1890 values written on bottom of 1889 sheet,,,,,,,,,,,,,,,,,,,,,
