NEWTON (BOOTH),,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2361/3/5,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,,,,,,2.49,1.73,5.47,1.75,1.22,,
February,,,,,,5.62,1.75,1.28,0.61,4.38,,
March,,,,,,0.89,4.88,0.95,1.86,0.81,,
April,,,,,,1.33,2.18,2.17,2.38,2.66,,
May,,,,,,1.86,3.00,1.48,1.47,1.30,,
June,,,,,,2.30,1.41,3.15,0.48,1.23,,
July,,,,,,2.37,4.29,2.36,1.97,2.02,,
August,,,,,,4.72,0.92,4.42,2.18,3.75,,
September,,,,,,4.16,1.63,2.16,1.00,4.57,,
October,,,,,,0.54,0.45,2.38,4.14,1.09,,
November,,,,,,4.98,2.53,1.42,3.65,3.50,,
December,,,,,,2.34,2.43,4.53,2.45,2.00,,
Total,,,,,,33.60,27.20,31.77,23.94,28.53,,
Calc annual,0.00,0.00,0.00,0.00,0.00,33.60,27.20,31.77,23.94,28.53,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,0.00,0.00,,
